阿达帕林,a'da'pa'lin
网状色素性皮病,wang'zhuang'se'su'xing'pi'bing
网状肢端色素沉着北村,wang'zhuang'zhi'duan'se'su'chen'zhuo'bei'cun
网状组织细胞瘤,wang'zhuang'zu'zhi'xi'bao'liu
网状组织细胞肉芽肿,wang'zhuang'zu'zhi'xi'bao'rou'ya'zhong
维胺酯,wei'an'zhi
伪步行虫科,wei'bu'xing'chong'ke
未成熟毛发上皮瘤,wei'cheng'shu'mao'fa'shang'pi'liu
未定型细胞,wei'ding'xing'xi'bao
为萘啶酸,wei'nai'ding'suan
微囊性附属器癌,wei'nang'xing'fu'shu'qi'ai
微脓肿,wei'nong'zhong
微泡,wei'pao
微生物产物,wei'sheng'wu'chan'wu
微丝凝聚蛋白,wei'si'ning'ju'dan'bai
萎缩,wei'suo
萎缩纹,wei'suo'wen
萎缩性扁平苔藓,wei'suo'xing'bian'ping'tai'xian
萎缩性痤疮,wei'suo'xing'cuo'chuang
萎缩性多软骨炎,wei'suo'xing'duo'ruan'gu'yan
萎缩性红色毛发角化症,wei'suo'xing'hong'se'mao'fa'jiao'hua'zheng
萎缩性慢性肢端皮炎,wei'suo'xing'man'xing'zhi'duan'pi'yan
萎缩性毛发角化症,wei'suo'xing'mao'fa'jiao'hua'zheng
萎缩性眼睑下垂,wei'suo'xing'yan'jian'xia'chui
微细棒状杆菌,wei'xi'bang'zhuang'gan'jun
微小梁,wei'xiao'liang
卫星样细胞坏死,wei'xing'yang'xi'bao'huai'si
蚊虫叮咬,wen'chong'ding'yao
文身,wen'shen
蜗牛爬行痕迹样溃疡,wo'niu'pa'xing'hen'ji'yang'kui'yang
窝状角质松解症,wo'zhuang'jiao'zhi'song'jie'zheng
乌柏脂,wu'bai'zhi
舞蹈手足徐动症自残,wu'dao'shou'zu'xu'dong'zheng'zi'can
无反应性,wu'fan'ying'xing
蜈蚣咬伤,wu'gong'yao'shang
无汗性外胚叶发育不良,wu'han'xing'wai'pei'ye'fa'yu'bu'liang
无汗症,wu'han'zheng
无肌病的皮肌炎,wu'ji'bing'de'pi'ji'yan
无甲,wu'jia
无精子形成男子女性乳房综合症,wu'jing'zi'xing'cheng'nan'zi'nv'xing'ru'fang'zong'he'zheng
五硫磺酯,wu'liu'huang'zhi
乌洛托品,wu'luo'tuo'pin
五日热立克次体,wu'ri're'li'ke'ci'ti
无色菌科感染,wu'se'jun'ke'gan'ran
无色素性痣,wu'se'su'xing'zhi
无数核糖体,wu'shu'he'tang'ti
无痛性关节病,wu'tong'xing'guan'jie'bing
无萎缩秃发性毛发角化症,wu'wei'suo'tu'fa'xing'mao'fa'jiao'hua'zheng
无义,wu'yi
细胞凋亡,xi'bao'diao'wang
细胞毒型,xi'bao'du'xing
细胞内分枝杆菌,xi'bao'nei'fen'zhi'gan'jun
细胞器,xi'bao'qi
细胞器的自身抗体,xi'bao'qi'de'zi'shen'kang'ti
细胞溶解型,xi'bao'rong'jie'xing
细胞外胆固醇沉着症,xi'bao'wai'dan'gu'chun'chen'zhuo'zheng
细胞样体,xi'bao'yang'ti
细胞因子,xi'bao'yin'zi
吸虫感染,xi'chong'gan'ran
烯二醇,xi'er'chun
希夫氏碱,xi'fu'shi'jian
习惯性抽搐畸形,xi'guan'xing'chou'chu'ji'xing
洗剂,xi'ji
细精管发育不全综合症,xi'jing'guan'fa'yu'bu'quan'zong'he'zheng
细菌性毛囊性,xi'jun'xing'mao'nang'xing
细菌性协同性坏疽,xi'jun'xing'xie'tong'xing'huai'ju
细菌性阴道病,xi'jun'xing'yin'dao'bing
细毛,xi'mao
稀毛生殖器综合症,xi'mao'sheng'zhi'qi'zong'he'zheng
西咪替丁,xi'mi'ti'ding
西米替丁,xi'mi'ti'ding
西尼罗河热,xi'ni'luo'he're
息肉色素沉着脱发甲肥大综合症,xi'rou'se'su'chen'zhuo'tuo'fa'jia'fei'da'zong'he'zheng
喜树碱,xi'shu'jian
烯酸,xi'suan
烯酸锌,xi'suan'xin
西索米星,xi'suo'mi'xing
系统铍沉着症,xi'tong'pi'chen'zhuo'zheng
系统性变应性脉管炎,xi'tong'xing'bian'ying'xing'mai'guan'yan
系统性骨软化症,xi'tong'xing'gu'ruan'hua'zheng
系统性红斑狼疮,xi'tong'xing'hong'ban'lang'chuang
系统性接触性皮炎,xi'tong'xing'jie'chu'xing'pi'yan
系统性软骨软化症,xi'tong'xing'ruan'gu'ruan'hua'zheng
系统性弹性纤维破裂,xi'tong'xing'tan'xing'xian'wei'po'lie
系统性弹性组织溶解性肉芽肿病,xi'tong'xing'tan'xing'zu'zhi'rong'jie'xing'rou'ya'zhong'bing
系统性透明变性病,xi'tong'xing'tou'ming'bian'xing'bing
系统性硬皮病,xi'tong'xing'ying'pi'bing
系统性硬皮症,xi'tong'xing'ying'pi'zheng
蜥蜴咬伤,xi'yi'yao'shang
洗浴光化学疗法,xi'yu'guang'hua'xue'liao'fa
下疳样脓皮病,xia'gan'yang'nong'pi'bing
下颌面骨发育不全,xia'he'mian'gu'fa'yu'bu'quan
下颌眼面头颅畸形,xia'he'yan'mian'tou'lu'ji'xing
夏季唇炎,xia'ji'chun'yan
夏季皮炎,xia'ji'pi'yan
夏季瘙痒病,xia'ji'sao'yang'bing
夏季型银屑病,xia'ji'xing'yin'xie'bing
夏季痒疹,xia'ji'yang'zhen
夏科关节,xia'ke'guan'jie
下肢神经病变,xia'zhi'shen'jing'bing'bian
腺病毒,xian'bing'du
腺病性痤疮,xian'bing'xing'cuo'chuang
线虫感染,xian'chong'gan'ran
先锋美他醇,xian'feng'mei'ta'chun
腺苷脱氨酶缺陷,xian'gan'tuo'an'mei'que'xian
限局角化症,xian'ju'jiao'hua'zheng
限局性线状鱼鳞病,xian'ju'xing'xian'zhuang'yu'lin'bing
线粒体,xian'li'ti
腺瘤样皮脂腺增生,xian'liu'yang'pi'zhi'xian'zeng'sheng
仙乃乐,xian'nai'le
先驱斑,xian'qu'ban
线索细胞,xian'suo'xi'bao
先天骨性斜颈综合症,xian'tian'gu'xing'xie'jing'zong'he'zheng
先天性白色角化病,xian'tian'xing'bai'se'jiao'hua'bing
先天性包涵性皮样囊肿,xian'tian'xing'bao'han'xing'pi'yang'nang'zhong
先天性背部皮肤的各窦道,xian'tian'xing'bei'bu'pi'fu'de'ge'dou'dao
先天性成骨不全,xian'tian'xing'cheng'gu'bu'quan
先天性动静脉吻合症,xian'tian'xing'dong'jing'mai'wen'he'zheng
先天性泛发性纤维瘤病,xian'tian'xing'fan'fa'xing'xian'wei'liu'bing
先天性风疹综合征,xian'tian'xing'feng'zhen'zong'he'zheng
先天性感觉性神经病,xian'tian'xing'gan'jue'xing'shen'jing'bing
先天性红细胞生成性卟啉症,xian'tian'xing'hong'xi'bao'sheng'cheng'xing'bu'lin'zheng
先天性厚甲,xian'tian'xing'hou'jia
先天性厚甲症,xian'tian'xing'hou'jia'zheng
先天性甲形成不全,xian'tian'xing'jia'xing'cheng'bu'quan
先天性角化不良,xian'tian'xing'jiao'hua'bu'liang
先天性颈胸椎骨结合综合症,xian'tian'xing'jing'xiong'zhui'gu'jie'he'zong'he'zheng
先天性局部毛增多症,xian'tian'xing'ju'bu'mao'zeng'duo'zheng
先天性毛增多症,xian'tian'xing'mao'zeng'duo'zheng
先天性面部外胚叶发育不良,xian'tian'xing'mian'bu'wai'pei'ye'fa'yu'bu'liang
先天性皮肤缺陷,xian'tian'xing'pi'fu'que'xian
先天性皮脂腺增生,xian'tian'xing'pi'zhi'xian'zeng'sheng
先天性髂骨角综合征,xian'tian'xing'qia'gu'jiao'zong'he'zheng
先天性全身性脂肪营养不良,xian'tian'xing'quan'shen'xing'zhi'fang'ying'yang'bu'liang
先天性色痣,xian'tian'xing'se'zhi
先天性肾上腺增生,xian'tian'xing'shen'shang'xian'zeng'sheng
先天性吞噬障碍病,xian'tian'xing'tun'shi'zhang'ai'bing
先天性脱发,xian'tian'xing'tuo'fa
先天性网状青斑,xian'tian'xing'wang'zhuang'qing'ban
先天性纤维瘤病,xian'tian'xing'xian'wei'liu'bing
先天性心脏房室传导阻滞,xian'tian'xing'xin'zang'fang'shi'chuan'dao'zu'zhi
先天性性联无球蛋白血症,xian'tian'xing'xing'lian'wu'qiu'dan'bai'xue'zheng
先天性掌跖和腔口周围角皮病,xian'tian'xing'zhang'zhi'he'qiang'kou'zhou'wei'jiao'pi'bing
先天性脂肪萎缩性糖尿病,xian'tian'xing'zhi'fang'wei'suo'xing'tang'niao'bing
先天性脂肪营养不良性糖尿病,xian'tian'xing'zhi'fang'ying'yang'bu'liang'xing'tang'niao'bing
先天愚型或伸舌样痴呆,xian'tian'yu'xing'huo'shen'she'yang'chi'dai
纤维连接蛋白,xian'wei'lian'jie'dan'bai
纤维连接素,xian'wei'lian'jie'su
纤维肉瘤,xian'wei'rou'liu
纤维上皮瘤,xian'wei'shang'pi'liu
纤维性肌炎,xian'wei'xing'ji'yan
纤维组织细胞瘤,xian'wei'zu'zhi'xi'bao'liu
纤维组织形成性脂膜炎,xian'wei'zu'zhi'xing'cheng'xing'zhi'mo'yan
纤细棒状杆菌,xian'xi'bang'zhuang'gan'jun
腺性唇炎,xian'xing'chun'yan
腺性热,xian'xing're
腺样鳞状细胞癌,xian'yang'lin'zhuang'xi'bao'ai
腺样囊性癌,xian'yang'nang'xing'ai
限制性,xian'zhi'xing
限制性皮病,xian'zhi'xing'pi'bing
线状白甲,xian'zhuang'bai'jia
线状扁平苔藓,xian'zhuang'bian'ping'tai'xian
线状苔藓,xian'zhuang'tai'xian
项部瘢痕疙瘩性毛囊炎,xiang'bu'ban'hen'ge'da'xing'mao'nang'yan
项部菱形皮肤,xiang'bu'ling'xing'pi'fu
香果脂,xiang'guo'zhi
镶嵌疣,xiang'qian'you
硝苯地平,xiao'ben'di'ping
小肠结核肠炎鼠疫菌,xiao'chang'jie'he'chang'yan'shu'yi'jun
小儿丘疹性肢端皮炎,xiao'er'qiu'zhen'xing'zhi'duan'pi'yan
小棘毛发苔藓,xiao'ji'mao'fa'tai'xian
小棘苔藓,xiao'ji'tai'xian
小棘状毛壅病,xiao'ji'zhuang'mao'yong'bing
小甲与巨甲,xiao'jia'yu'ju'jia
小柳综合征,xiao'liu'zong'he'zheng
小螺菌,xiao'luo'jun
小脑及视网膜成血管细胞瘤,xiao'nao'ji'shi'wang'mo'cheng'xue'guan'xi'bao'liu
小脑视网膜血管细胞瘤病,xiao'nao'shi'wang'mo'xue'guan'xi'bao'liu'bing
小噬细胞,xiao'shi'xi'bao
硝酸银,xiao'suan'yin
小头,xiao'tou
小腿静脉性溃疡,xiao'tui'jing'mai'xing'kui'yang
小腿溃疡,xiao'tui'kui'yang
小腿慢性毛囊炎,xiao'tui'man'xing'mao'nang'yan
小腿脓疱性萎缩性皮炎,xiao'tui'nong'pao'xing'wei'suo'xing'pi'yan
小腿痛性脂肿综合症,xiao'tui'tong'xing'zhi'zhong'zong'he'zheng
小叶性脂膜炎,xiao'ye'xing'zhi'mo'yan
协同刺激分子,xie'tong'ci'ji'fen'zi
协同性坏疽,xie'tong'xing'huai'ju
协同性坏死性蜂窝织炎,xie'tong'xing'huai'si'xing'feng'wo'zhi'yan
蝎蛰伤,xie'zhe'shang
心得安,xin'de'an
心房利钠肽,xin'fang'li'na'tai
信号序列,xin'hao'xu'lie
信号转导及转录活化蛋白,xin'hao'zhuan'dao'ji'zhuan'lu'huo'hua'dan'bai
心磷脂,xin'lin'zhi
心磷脂荧光,xin'lin'zhi'ying'guang
新霉素,xin'mei'su
心面皮肤综合症,xin'mian'pi'fu'zong'he'zheng
新生儿剥脱性皮炎,xin'sheng'er'bo'tuo'xing'pi'yan
新生儿痤疮,xin'sheng'er'cuo'chuang
新生儿过敏性红斑,xin'sheng'er'guo'min'xing'hong'ban
新生儿红斑,xin'sheng'er'hong'ban
新生儿红斑狼疮,xin'sheng'er'hong'ban'lang'chuang
新生儿脓疱疮,xin'sheng'er'nong'pao'chuang
新生儿疱疹,xin'sheng'er'pao'zhen
新生儿皮肤颜色改变,xin'sheng'er'pi'fu'yan'se'gai'bian
新生儿皮下脂肪坏死,xin'sheng'er'pi'xia'zhi'fang'huai'si
新生儿水肿,xin'sheng'er'shui'zhong
新生儿一过性脓疱性黑变病,xin'sheng'er'yi'guo'xing'nong'pao'xing'hei'bian'bing
新生儿硬化症,xin'sheng'er'ying'hua'zheng
新生儿暂时性低球蛋白,xin'sheng'er'zan'shi'xing'di'qiu'dan'bai
新生儿暂时性萎缩性回状红斑,xin'sheng'er'zan'shi'xing'wei'suo'xing'hui'zhuang'hong'ban
新生儿中毒性红斑,xin'sheng'er'zhong'du'xing'hong'ban
新生儿紫癜,xin'sheng'er'zi'dian
新生霉素,xin'sheng'mei'su
心脏皮肤综合征,xin'zang'pi'fu'zong'he'zheng
型表皮痣,xing'biao'pi'zhi
性病实验研究室玻片试验,xing'bing'shi'yan'yan'jiu'shi'bo'pian'shi'yan
性病性淋巴肉芽肿,xing'bing'xing'lin'ba'rou'ya'zhong
性病疣,xing'bing'you
型肠息肉,xing'chang'xi'rou
性传播疾病,xing'chuan'bo'ji'bing
型大疱性表皮松解症,xing'da'pao'xing'biao'pi'song'jie'zheng
猩红热,xing'hong're
猩红热样红斑,xing'hong're'yang'hong'ban
鋞化物,xing'hua'wu
性恐怖,xing'kong'bu
性联淋巴增生性病,xing'lian'lin'ba'zeng'sheng'xing'bing
性联遗传性寻常性鱼鳞病,xing'lian'yi'chuan'xing'xun'chang'xing'yu'lin'bing
性联重症联合型免疫缺陷病,xing'lian'zhong'zheng'lian'he'xing'mian'yi'que'xian'bing
型皮肤松弛症,xing'pi'fu'song'chi'zheng
星形奴卡菌,xing'xing'nu'ka'jun
型侏儒,xing'zhu'ru
星状自发性假瘢,xing'zhuang'zi'fa'xing'jia'ban
胸腹壁血栓性静脉炎,xiong'fu'bi'xue'shuan'xing'jing'mai'yan
雄激素源性脱发,xiong'ji'su'yuan'xing'tuo'fa
胸腺激素,xiong'xian'ji'su
胸腺肽,xiong'xian'tai
胸腺体液因子,xiong'xian'ti'ye'yin'zi
胸腺五肽,xiong'xian'wu'tai
胸腺细胞生长素,xiong'xian'xi'bao'sheng'zhang'su
胸腺依赖性淋巴细胞,xiong'xian'yi'lai'xing'lin'ba'xi'bao
溴匹立明,xiu'pi'li'ming
休止期,xiu'zhi'qi
休止期脱发,xiu'zhi'qi'tuo'fa
须部假性毛囊炎,xu'bu'jia'xing'mao'nang'yan
须疮,xu'chuang
续发性或症状性黄瘤病,xu'fa'xing'huo'zheng'zhuang'xing'huang'liu'bing
续发性系统性淀粉样变病,xu'fa'xing'xi'tong'xing'dian'fen'yang'bian'bing
醑剂,xu'ji
须癣毛癣菌,xu'xuan'mao'xuan'jun
需氧性孢子型,xu'yang'xing'bao'zi'xing
癣菌疹,xuan'jun'zhen
旋毛虫病,xuan'mao'chong'bing
旋毛线虫,xuan'mao'xian'chong
旋体颗粒凝集试验,xuan'ti'ke'li'ning'ji'shi'yan
选择,xuan'ze
选择性免疫抑制,xuan'ze'xing'mian'yi'yi'zhi
血管错构瘤软骨发育异常综合症,xue'guan'cuo'gou'liu'ruan'gu'fa'yu'yi'chang'zong'he'zheng
血管骨肥大综合症,xue'guan'gu'fei'da'zong'he'zheng
血管活性肠肽,xue'guan'huo'xing'chang'tai
血管狼疮样型,xue'guan'lang'chuang'yang'xing
血管瘤病综合征,xue'guan'liu'bing'zong'he'zheng
血管瘤和淋巴管瘤性巨舌,xue'guan'liu'he'lin'ba'guan'liu'xing'ju'she
血管瘤血小板减少综合症,xue'guan'liu'xue'xiao'ban'jian'shao'zong'he'zheng
血管内压增高性紫癜,xue'guan'nei'ya'zeng'gao'xing'zi'dian
血管舒缓素,xue'guan'shu'huan'su
血管通透性因子,xue'guan'tong'tou'xing'yin'zi
血管萎缩性皮肤异色病,xue'guan'wei'suo'xing'pi'fu'yi'se'bing
血管性脑三叉神经综合征,xue'guan'xing'nao'san'cha'shen'jing'zong'he'zheng
血管性水肿,xue'guan'xing'shui'zhong
血汗症,xue'han'zheng
血母细胞,xue'mu'xi'bao
血凝抑制试验,xue'ning'yi'zhi'shi'yan
血清病型荨麻疹,xue'qing'bing'xing'xun'ma'zhen
血色病,xue'se'bing
血栓形成性血小板减少性紫癜,xue'shuan'xing'cheng'xing'xue'xiao'ban'jian'shao'xing'zi'dian
血栓性静脉炎,xue'shuan'xing'jing'mai'yan
血栓性静脉炎后综合症,xue'shuan'xing'jing'mai'yan'hou'zong'he'zheng
血吸虫尾蚴感染,xue'xi'chong'wei'you'gan'ran
血小板减少桡骨发育不全,xue'xiao'ban'jian'shao'rao'gu'fa'yu'bu'quan
血小板减少性紫癜血小板综合症,xue'xiao'ban'jian'shao'xing'zi'dian'xue'xiao'ban'zong'he'zheng
血小板增多症性紫癜,xue'xiao'ban'zeng'duo'zheng'xing'zi'dian
寻常狼疮,xun'chang'lang'chuang
寻常性痤疮,xun'chang'xing'cuo'chuang
寻常性痒疹,xun'chang'xing'yang'zhen
寻常型银屑病,xun'chang'xing'yin'xie'bing
寻常性鱼鳞病,xun'chang'xing'yu'lin'bing
寻常疣,xun'chang'you
荨麻疹,xun'ma'zhen
荨麻疹耳聋淀粉样变性病,xun'ma'zhen'er'long'dian'fen'yang'bian'xing'bing
荨麻疹和巨球蛋白血症,xun'ma'zhen'he'ju'qiu'dan'bai'xue'zheng
荨麻疹性痤疮,xun'ma'zhen'xing'cuo'chuang
荨麻疹性血管炎,xun'ma'zhen'xing'xue'guan'yan
牙齿生长不全,ya'chi'sheng'zhang'bu'quan
亚急性结节性游走性脂膜炎,ya'ji'xing'jie'jie'xing'you'zou'xing'zhi'mo'yan
亚急性皮肤红斑狼疮,ya'ji'xing'pi'fu'hong'ban'lang'chuang
亚急性皮肤型红斑狼疮,ya'ji'xing'pi'fu'xing'hong'ban'lang'chuang
压力性脂膜炎,ya'li'xing'zhi'mo'yan
亚临床感染,ya'lin'chuang'gan'ran
亚硫酸氢钠,ya'liu'suan'qing'na
牙生菌病,ya'sheng'jun'bing
芽生菌病样脓皮病,ya'sheng'jun'bing'yang'nong'pi'bing
雅司,ya'si
延迟性家族性局限性热荨麻疹,yan'chi'xing'jia'zu'xing'ju'xian'xing're'xun'ma'zhen
延迟性皮肤划痕症,yan'chi'xing'pi'fu'hua'hen'zheng
延迟性压力性荨麻疹,yan'chi'xing'ya'li'xing'xun'ma'zhen
眼齿指趾发育不良,yan'chi'zhi'zhi'fa'yu'bu'liang
眼大脑色素减退综合征,yan'da'nao'se'su'jian'tui'zong'he'zheng
眼带状疱疹,yan'dai'zhuang'pao'zhen
眼睑皮肤松弛,yan'jian'pi'fu'song'chi
眼睑松解症,yan'jian'song'jie'zheng
闫科列,yan'ke'lie
眼口生殖器综合征,yan'kou'sheng'zhi'qi'zong'he'zheng
颜面粟粒性狼疮,yan'mian'su'li'xing'lang'chuang
颜面再发性皮炎,yan'mian'zai'fa'xing'pi'yan
眼皮肤酪氨酸代谢紊乱症,yan'pi'fu'lao'an'suan'dai'xie'wen'luan'zheng
眼皮痣,yan'pi'zhi
延伸肽,yan'shen'tai
烟酸,yan'suan
盐酸达克罗宁,yan'suan'da'ke'luo'ning
盐酸氮介,yan'suan'dan'jie
盐酸黄连素,yan'suan'huang'lian'su
烟酸肌醇酯,yan'suan'ji'chun'zhi
盐酸硫胺,yan'suan'liu'an
烟酸缺乏症,yan'suan'que'fa'zheng
烟酸生育酚酯,yan'suan'sheng'yu'fen'zhi
盐酸左旋咪唑,yan'suan'zuo'xuan'mi'zuo
眼下颌头颅畸形伴稀毛症,yan'xia'he'tou'lu'ji'xing'ban'xi'mao'zheng
咽峡炎,yan'xia'yan
烟酰胺,yan'xian'an
闫小东,yan'xiao'dong
岩藻糖沉积病,yan'zao'tang'chen'ji'bing
炎症后色素沉着,yan'zheng'hou'se'su'chen'zhuo
严重的联合型免疫缺陷病,yan'zhong'de'lian'he'xing'mian'yi'que'xian'bing
恙虫病,yang'chong'bing
痒点,yang'dian
羊痘,yang'dou
氧氟沙星,yang'fu'sha'xing
氧化镁,yang'hua'mei
氧化锌,yang'hua'xin
恙螨皮炎,yang'man'pi'yan
羊毛脂,yang'mao'zhi
羊毛状发,yang'mao'zhuang'fa
羊毛状痣,yang'mao'zhuang'zhi
痒皮肤,yang'pi'fu
羊型布鲁菌,yang'xing'bu'lu'jun
阳性选择,yang'xing'xuan'ze
痒疹,yang'zhen
痒疹横痃,yang'zhen'heng'xuan
痒疹小结节,yang'zhen'xiao'jie'jie
药苯嘧啶,yao'ben'mi'ding
咬甲癖,yao'jia'pi
药物过量,yao'wu'guo'liang
药物紫癜,yao'wu'zi'dian
药疹,yao'zhen
耶尔森菌属,ye'er'sen'jun'shu
液化性脂膜炎,ye'hua'xing'zhi'mo'yan
野菊花,ye'ju'hua
腋毛癣,ye'mao'xuan
叶酸,ye'suan
叶酸拮抗物质,ye'suan'jie'kang'wu'zhi
叶酸缺乏症,ye'suan'que'fa'zheng
液体静压,ye'ti'jing'ya
液体石蜡,ye'ti'shi'la
野兔热,ye'tu're
腋窝颗粒状角化不全症,ye'wo'ke'li'zhuang'jiao'hua'bu'quan'zheng
液状石腊,ye'zhuang'shi'la
乙胺丁醇,yi'an'ding'chun
异丙醇溶液,yi'bing'chun'rong'ye
异丙肌苷,yi'bing'ji'gan
异丙肌苷类,yi'bing'ji'gan'lei
疑病症综合征,yi'bing'zheng'zong'he'zheng
异常蛋白血症性紫癜,yi'chang'dan'bai'xue'zheng'xing'zi'dian
异常球蛋白血症,yi'chang'qiu'dan'bai'xue'zheng
遗传性白色角化病,yi'chuan'xing'bai'se'jiao'hua'bing
遗传性半透明丘疹性肢端角化症,yi'chuan'xing'ban'tou'ming'qiu'zhen'xing'zhi'duan'jiao'hua'zheng
遗传性并指症,yi'chuan'xing'bing'zhi'zheng
遗传性出血性毛细血管扩张症,yi'chuan'xing'chu'xue'xing'mao'xi'xue'guan'kuo'zhang'zheng
遗传性点状角化病,yi'chuan'xing'dian'zhuang'jiao'hua'bing
遗传性对称性色素异常症,yi'chuan'xing'dui'chen'xing'se'su'yi'chang'zheng
遗传性骨甲发育不良,yi'chuan'xing'gu'jia'fa'yu'bu'liang
遗传性烘卟啉症,yi'chuan'xing'hong'bu'lin'zheng
遗传性家族性荨麻疹综合症,yi'chuan'xing'jia'zu'xing'xun'ma'zhen'zong'he'zheng
遗传性局限性瘙痒病,yi'chuan'xing'ju'xian'xing'sao'yang'bing
遗传性局限性瘙痒症,yi'chuan'xing'ju'xian'xing'sao'yang'zheng
遗传性良性上皮内角化不良,yi'chuan'xing'liang'xing'shang'pi'nei'jiao'hua'bu'liang
遗传性系统性淀粉样变病,yi'chuan'xing'xi'tong'xing'dian'fen'yang'bian'bing
遗传性血管性水肿,yi'chuan'xing'xue'guan'xing'shui'zhong
遗传性早年白发,yi'chuan'xing'zao'nian'bai'fa
遗传性早年灰白发,yi'chuan'xing'zao'nian'hui'bai'fa
遗传性掌红斑,yi'chuan'xing'zhang'hong'ban
遗传性掌跖角化症,yi'chuan'xing'zhang'zhi'jiao'hua'zheng
乙醇,yi'chun
胰岛素性脂肪萎缩,yi'dao'su'xing'zhi'fang'wei'suo
乙二胺四乙酰亚胺,yi'er'an'si'yi'xian'ya'an
胰高糖素瘤综合征,yi'gao'tang'su'liu'zong'he'zheng
一过性软下疳,yi'guo'xing'ruan'xia'gan
移行纹,yi'hang'wen
移行性幼虫病,yi'hang'xing'you'chong'bing
益康唑,yi'kang'zuo
异克舒令,yi'ke'shu'ling
乙硫异烟胺,yi'liu'yi'yan'an
蚁丘疣,yi'qiu'you
伊曲康唑,yi'qu'kang'zuo
乙醛综合征,yi'quan'zong'he'zheng
异色性皮肌炎,yi'se'xing'pi'ji'yan
依沙丫啶,yi'sha'ya'ding
乙双吗啉,yi'shuang'ma'lin
抑素,yi'su
异锁链素,yi'suo'lian'su
依他酸二钠,yi'ta'suan'er'na
抑肽酶,yi'tai'mei
伊藤痣,yi'teng'zhi
翼突淋巴管扩张,yi'tu'lin'ba'guan'kuo'zhang
意外粉粒沉着,yi'wai'fen'li'chen'zhuo
异位甲,yi'wei'jia
异位性皮炎,yi'wei'xing'pi'yan
异位性湿疹,yi'wei'xing'shi'zhen
异物反应和异物肉芽肿,yi'wu'fan'ying'he'yi'wu'rou'ya'zhong
已烯雌酚,yi'xi'ci'fen
乙酰氨基酚,yi'xian'an'ji'fen
乙酰水杨酸,yi'xian'shui'yang'suan
乙酰水扬酸妊孕诺龙,yi'xian'shui'yang'suan'ren'yun'nuo'long
乙型肝炎抗原血症,yi'xing'gan'yan'kang'yuan'xue'zheng
异型粘多糖病,yi'xing'nian'duo'tang'bing
乙亚胺,yi'ya'an
异烟肼,yi'yan'jing
异烟腙,yi'yan'zong
异源多聚体,yi'yuan'duo'ju'ti
异源二聚体,yi'yuan'er'ju'ti
衣原体,yi'yuan'ti
医源性毛增多症,yi'yuan'xing'mao'zeng'duo'zheng
医源性移植物抗宿主病,yi'yuan'xing'yi'zhi'wu'kang'su'zhu'bing
蚁蛰伤,yi'zhe'shang
移植物抗宿主病,yi'zhi'wu'kang'su'zhu'bing
翼状赘蹼综合症,yi'zhuang'zhui'pu'zong'he'zheng
隐翅虫皮炎,yin'chi'chong'pi'yan
阴道加特纳菌,yin'dao'jia'te'na'jun
阴道毛滴虫病,yin'dao'mao'di'chong'bing
吲哚美辛,yin'duo'mei'xin
隐睾病侏儒肥胖低常智力,yin'gao'bing'zhu'ru'fei'pang'di'chang'zhi'li
阴茎多毛样乳头瘤,yin'jing'duo'mao'yang'ru'tou'liu
阴茎干枯,yin'jing'gan'ku
阴茎海绵体硬结症,yin'jing'hai'mian'ti'ying'jie'zheng
阴茎结核疹,yin'jing'jie'he'zhen
阴茎硬化性淋巴管炎,yin'jing'ying'hua'xing'lin'ba'guan'yan
阴茎中线囊肿,yin'jing'zhong'xian'nang'zhong
阴囊瘙痒病,yin'nang'sao'yang'bing
阴囊舌,yin'nang'she
阴囊特发性皮肤钙沉着症,yin'nang'te'fa'xing'pi'fu'gai'chen'zhuo'zheng
隐球菌病,yin'qiu'jun'bing
银屑病,yin'xie'bing
银屑病白斑,yin'xie'bing'bai'ban
银屑病性剥脱性皮炎,yin'xie'bing'xing'bo'tuo'xing'pi'yan
银屑病性关节炎,yin'xie'bing'xing'guan'jie'yan
银屑病样尿布皮炎,yin'xie'bing'yang'niao'bu'pi'yan
银屑灵,yin'xie'ling
阴性选择,yin'xing'xuan'ze
因子,yin'zi
硬斑病,ying'ban'bing
硬斑病性扁平苔藓,ying'ban'bing'xing'bian'ping'tai'xian
婴儿表皮发育不良性回状红斑,ying'er'biao'pi'fa'yu'bu'liang'xing'hui'zhuang'hong'ban
婴儿蛋白质营养不良,ying'er'dan'bai'zhi'ying'yang'bu'liang
婴儿腹部离心性脂肪营养不良,ying'er'fu'bu'li'xin'xing'zhi'fang'ying'yang'bu'liang
婴儿坏疽性皮炎,ying'er'huai'ju'xing'pi'yan
婴儿环状红斑,ying'er'huan'zhuang'hong'ban
婴儿肌纤维瘤病,ying'er'ji'xian'wei'liu'bing
婴儿玫瑰疹,ying'er'mei'gui'zhen
婴儿皮肤粘蛋白病,ying'er'pi'fu'nian'dan'bai'bing
婴儿色素性神经外胚叶肿瘤,ying'er'se'su'xing'shen'jing'wai'pei'ye'zhong'liu
婴儿湿疹,ying'er'shi'zhen
婴儿臀部肉芽肿,ying'er'tun'bu'rou'ya'zhong
婴儿纤维性错构瘤,ying'er'xian'wei'xing'cuo'gou'liu
婴儿银屑病,ying'er'yin'xie'bing
婴儿指部纤维瘤病,ying'er'zhi'bu'xian'wei'liu'bing
婴儿肢端脓疱病,ying'er'zhi'duan'nong'pao'bing
