阿拉伯联盟经济理事会,a'la'bo'lian'meng'jing'ji'li'shi'hui
断层镶嵌,duan'ceng'xiang'qian
断层楔,duan'ceng'xie
断层型式,duan'ceng'xing'shi
断层崖,duan'ceng'ya
断层岩,duan'ceng'yan
断层样式,duan'ceng'yang'shi
断层移距,duan'ceng'yi'ju
断层粘泥,duan'ceng'zhan'ni
断层遮挡油气藏,duan'ceng'zhe'dang'you'qi'cang
断层褶皱,duan'ceng'zhe'zhou
断层褶皱构造,duan'ceng'zhe'zhou'gou'zao
断层状构造,duan'ceng'zhuang'gou'zao
断层走向,duan'ceng'zou'xiang
断层组,duan'ceng'zu
断层组合,duan'ceng'zu'he
断层作用,duan'ceng'zuo'yong
锻锤,duan'chui
端搭叠,duan'da'die
端点饱和度,duan'dian'bao'he'du
端点采收率,duan'dian'cai'shou'lv
端点放炮排列,duan'dian'fang'pao'pai'lie
端点检波器,duan'dian'jian'bo'qi
端点流度比,duan'dian'liu'du'bi
端点数据,duan'dian'shu'ju
端点条件,duan'dian'tiao'jian
端点相对渗透率,duan'dian'xiang'dui'shen'tou'lv
端点相位漂移,duan'dian'xiang'wei'piao'yi
端阀,duan'fa
端封,duan'feng
锻钢,duan'gang
锻钢对开三通,duan'gang'dui'kai'san'tong
锻工场,duan'gong'chang
锻焊,duan'han
端基,duan'ji
端键,duan'jian
端节点,duan'jie'dian
端接法,duan'jie'fa
端截面,duan'jie'mian
断距,duan'ju
断口,duan'kou
断口显微观察,duan'kou'xian'wei'guan'cha
断块,duan'kuai
断块闭合构造,duan'kuai'bi'he'gou'zao
断块地形,duan'kuai'di'xing
断块构造,duan'kuai'gou'zao
断块谷,duan'kuai'gu
断块盆地,duan'kuai'pen'di
断块气藏,duan'kuai'qi'cang
断块山,duan'kuai'shan
断块油藏,duan'kuai'you'cang
断块运动,duan'kuai'yun'dong
断裂,duan'lie
断裂背斜圈闭,duan'lie'bei'xie'quan'bi
断裂沉积,duan'lie'chen'ji
断裂带,duan'lie'dai
断裂倒转褶皱,duan'lie'dao'zhuan'zhe'zhou
断裂的,duan'lie'de
断裂构造,duan'lie'gou'zao
断裂谷,duan'lie'gu
断裂滑块,duan'lie'hua'kuai
断裂力学,duan'lie'li'xue
断裂隆起褶皱,duan'lie'long'qi'zhe'zhou
断裂面,duan'lie'mian
断裂挠曲,duan'lie'nao'qu
断裂能量,duan'lie'neng'liang
断裂剖面,duan'lie'pou'mian
断裂韧性,duan'lie'ren'xing
断裂伸长,duan'lie'shen'chang
断裂试验,duan'lie'shi'yan
断裂线,duan'lie'xian
断裂应力,duan'lie'ying'li
断裂运动,duan'lie'yun'dong
断裂褶皱,duan'lie'zhe'zhou
断裂整合,duan'lie'zheng'he
断裂组,duan'lie'zu
短路,duan'lu
锻炉,duan'lu
端面,duan'mian
端面车床,duan'mian'che'chuang
断面反射,duan'mian'fan'she
端面燃烧,duan'mian'ran'shao
端面跳动,duan'mian'tiao'dong
端面震摆,duan'mian'zhen'bai
断挠构造,duan'nao'gou'zao
端屏蔽,duan'ping'bi
端碛,duan'qi
短期地壳运动,duan'qi'di'qiao'yun'dong
短起下钻,duan'qi'xia'zuan
端射磁偶极子,duan'she'ci'ou'ji'zi
短时负荷,duan'shi'fu'he
短时间潜水,duan'shi'jian'qian'shui
断损区域,duan'sun'qu'yu
短袜,duan'wa
端位移,duan'wei'yi
端隙,duan'xi
端铣刀,duan'xi'dao
断陷盆地,duan'xian'pen'di
断崖滨线,duan'ya'bin'xian
锻压机,duan'ya'ji
端压力,duan'ya'li
端员,duan'yuan
端员三角洲类型,duan'yuan'san'jiao'zhou'lei'xing
端员岩,duan'yuan'yan
端员组分,duan'yuan'zu'fen
短暂起停法,duan'zan'qi'ting'fa
锻造,duan'zao
锻造出的毛坯,duan'zao'chu'de'mao'pi
锻轧,duan'zha
端轴承,duan'zhou'cheng
短钻杆,duan'zuan'gan
对半法令,dui'ban'fa'ling
对苯二甲酸乙二酯,dui'ben'er'jia'suan'yi'er'zhi
对等工休制,dui'deng'gong'xiu'zhi
对地电容,dui'di'dian'rong
兑换,dui'huan
堆积阶地,dui'ji'jie'di
堆积指状浮冰,dui'ji'zhi'zhuang'fu'bing
对讲机,dui'jiang'ji
对接,dui'jie
对接闪光焊,dui'jie'shan'guang'han
对开纸,dui'kai'zhi
对外负债,dui'wai'fu'zhai
对外贸易区,dui'wai'mao'yi'qu
对外贸易仲裁委员会,dui'wai'mao'yi'zhong'cai'wei'yuan'hui
对虾,dui'xia
兑现选择权,dui'xian'xuan'ze'quan
对心误差,dui'xin'wu'cha
对形性,dui'xing'xing
对压裂参数的监控,dui'ya'lie'can'shu'de'jian'kong
对映体,dui'ying'ti
对折电缆,dui'zhe'dian'lan
对准,dui'zhun
顿钻钻井,dun'zuan'zuan'jing
顿钻钻井法,dun'zuan'zuan'jing'fa
顿钻钻具下击,dun'zuan'zuan'ju'xia'ji
多次地层测试器,duo'ci'di'ceng'ce'shi'qi
多顶式拟合,duo'ding'shi'ni'he
多斗控泥机,duo'dou'kong'ni'ji
多功能打字机,duo'gong'neng'da'zi'ji
多功能液体,duo'gong'neng'ye'ti
多角螺丝起子,duo'jiao'luo'si'qi'zi
躲开,duo'kai
多孔玻璃,duo'kong'bo'li
多孔塑料,duo'kong'su'liao
多孔性,duo'kong'xing
多孔珍珠岩,duo'kong'zhen'zhu'yan
多年冻土,duo'nian'dong'tu
多区无线电导航系统,duo'qu'wu'xian'dian'dao'hang'xi'tong
多雾,duo'wu
多项式因子分解,duo'xiang'shi'yin'zi'fen'jie
多余的水泥,duo'yu'de'shui'ni
多余电子,duo'yu'dian'zi
多余质量,duo'yu'zhi'liang
多元函数,duo'yuan'han'shu
多源回声,duo'yuan'hui'sheng
多云,duo'yun
多脂的,duo'zhi'de
恶臭的,e'chou'de
厄尔几丁虫属,e'er'ji'ding'chong'shu
厄缶单位,e'fou'dan'wei
厄缶校正,e'fou'jiao'zheng
厄缶扭称,e'fou'niu'cheng
厄缶效应,e'fou'xiao'ying
鹅颈管,e'jing'guan
厄立特里亚古海,e'li'te'li'ya'gu'hai
恶劣环境,e'lie'huan'jing
额外的,e'wai'de
额外电流,e'wai'dian'liu
额外费用,e'wai'fei'yong
额外负荷,e'wai'fu'he
额外轨迹,e'wai'gui'ji
额外加价,e'wai'jia'jia
额外损失,e'wai'sun'shi
额外投资,e'wai'tou'zi
额外信息,e'wai'xin'xi
额外压力降,e'wai'ya'li'jiang
恩舍尔阶,en'she'er'jie
恩氏度,en'shi'du
恩氏粘度,en'shi'nian'du
恩氏粘度单位,en'shi'nian'du'dan'wei
恩氏粘度计,en'shi'nian'du'ji
恩氏蒸馏,en'shi'zheng'liu
恩氏蒸馏曲线,en'shi'zheng'liu'qu'xian
耳柄,er'bing
二层台,er'ceng'tai
耳朵,er'duo
尔冈,er'gang
尔格,er'ge
耳机,er'ji
耳机上防噪橡皮护圈,er'ji'shang'fang'zao'xiang'pi'hu'quan
二价铁,er'jia'tie
尔朗,er'lang
二氯乙烷,er'lv'yi'wan
二茂铁,er'mao'tie
耳塞,er'sai
二十,er'shi
二十烷,er'shi'wan
二十一,er'shi'yi
二维平面投影,er'wei'ping'mian'tou'ying
二溴乙烷,er'xiu'yi'wan
二氧化钙,er'yang'hua'gai
二月,er'yue
耳状物,er'zhuang'wu
法奥利特石棉管,fa'ao'li'te'shi'mian'guan
法包线,fa'bao'xian
法伯尔粘度计,fa'bo'er'nian'du'ji
发出,fa'chu
发电厂,fa'dian'chang
发电的,fa'dian'de
发电机,fa'dian'ji
发电机效率,fa'dian'ji'xiao'lv
发电机组,fa'dian'ji'zu
发动机,fa'dong'ji
发动机并车,fa'dong'ji'bing'che
发动机舱,fa'dong'ji'cang
发动机的皮带轮,fa'dong'ji'de'pi'dai'lun
发动机房,fa'dong'ji'fang
发动机防冻剂,fa'dong'ji'fang'dong'ji
发动机飞轮上的平衡重,fa'dong'ji'fei'lun'shang'de'ping'heng'zhong
发动机缸,fa'dong'ji'gang
发动机工,fa'dong'ji'gong
发动机功率,fa'dong'ji'gong'lv
发动机故障,fa'dong'ji'gu'zhang
发动机护罩,fa'dong'ji'hu'zhao
发动机活塞,fa'dong'ji'huo'sai
发动机计时器,fa'dong'ji'ji'shi'qi
发动机监视器,fa'dong'ji'jian'shi'qi
发动机减速装置,fa'dong'ji'jian'su'zhuang'zhi
发动机胶状沉积,fa'dong'ji'jiao'zhuang'chen'ji
发动机每分钟转数,fa'dong'ji'mei'fen'zhong'zhuan'shu
发动机排气,fa'dong'ji'pai'qi
发动机棚,fa'dong'ji'peng
发动机漆膜沉积,fa'dong'ji'qi'mo'chen'ji
发动机驱动,fa'dong'ji'qu'dong
发动机燃料,fa'dong'ji'ran'liao
发动机润滑油,fa'dong'ji'run'hua'you
发动机身,fa'dong'ji'shen
发动机试车,fa'dong'ji'shi'che
发动机试验,fa'dong'ji'shi'yan
发动机试验操作序列,fa'dong'ji'shi'yan'cao'zuo'xu'lie
发动机试验方法,fa'dong'ji'shi'yan'fang'fa
发动机套,fa'dong'ji'tao
发动机熄火,fa'dong'ji'xi'huo
发动机油门,fa'dong'ji'you'men
发动机预热器,fa'dong'ji'yu're'qi
发动机淤渣,fa'dong'ji'yu'zha
发动机增压机,fa'dong'ji'zeng'ya'ji
发动机支架,fa'dong'ji'zhi'jia
发动机座,fa'dong'ji'zuo
法尔康发动机锈蚀试验,fa'er'kang'fa'dong'ji'xiu'shi'shi'yan
阀杆,fa'gan
法国,fa'guo
法国的,fa'guo'de
法国人,fa'guo'ren
法国专利,fa'guo'zhuan'li
发火花,fa'huo'hua
发火器,fa'huo'qi
发火特性,fa'huo'te'xing
发火头,fa'huo'tou
发火装置,fa'huo'zhuang'zhi
发酵,fa'jiao
发酵气,fa'jiao'qi
发酵细菌,fa'jiao'xi'jun
发酵液,fa'jiao'ye
罚款,fa'kuan
法拉,fa'la
法拉第,fa'la'di
法拉第常数,fa'la'di'chang'shu
法拉第定律,fa'la'di'ding'lv
法拉第感应定律,fa'la'di'gan'ying'ding'lv
法拉第筒,fa'la'di'tong
法拉第通路,fa'la'di'tong'lu
法拉第效应,fa'la'di'xiao'ying
法拉计,fa'la'ji
法拉牙形石属,fa'la'ya'xing'shi'shu
法兰,fa'lan
法兰等级,fa'lan'deng'ji
法兰垫片,fa'lan'dian'pian
法兰分离器,fa'lan'fen'li'qi
法兰接合,fa'lan'jie'he
法兰联管节,fa'lan'lian'guan'jie
法兰连接,fa'lan'lian'jie
法兰联轴节,fa'lan'lian'zhou'jie
法兰取压偏心孔板,fa'lan'qu'ya'pian'xin'kong'ban
法兰绒,fa'lan'rong
法兰绒揩布,fa'lan'rong'kai'bu
法兰三通,fa'lan'san'tong
法兰西,fa'lan'xi
法兰闸阀,fa'lan'zha'fa
法郎,fa'lang
法郎区,fa'lang'qu
法列克司摩擦试验机,fa'lie'ke'si'mo'ca'shi'yan'ji
阀帽,fa'mao
法美外洋海底勘探,fa'mei'wai'yang'hai'di'kan'tan
法门阶,fa'men'jie
阀面,fa'mian
伐木工,fa'mu'gong
法呢烷,fa'ne'wan
法呢烯,fa'ne'xi
发泡倍数,fa'pao'bei'shu
发泡表面活性剂,fa'pao'biao'mian'huo'xing'ji
发泡剂,fa'pao'ji
发泡体积,fa'pao'ti'ji
发泡网,fa'pao'wang
发散出,fa'san'chu
发射,fa'she
发射表面,fa'she'biao'mian
发射波,fa'she'bo
发射的电子,fa'she'de'dian'zi
发射的光电子,fa'she'de'guang'dian'zi
发射电极,fa'she'dian'ji
发射分光镜,fa'she'fen'guang'jing
发射功率,fa'she'gong'lv
发射光,fa'she'guang
发射光单色器,fa'she'guang'dan'se'qi
发射光谱带,fa'she'guang'pu'dai
发射光谱法,fa'she'guang'pu'fa
发射光谱仪,fa'she'guang'pu'yi
发射极耦合逻辑,fa'she'ji'ou'he'luo'ji
发射角,fa'she'jiao
发射接收方向,fa'she'jie'shou'fang'xiang
发射率,fa'she'lv
发射脉冲的,fa'she'mai'chong'de
发射面积,fa'she'mian'ji
发射能力,fa'she'neng'li
发射能量,fa'she'neng'liang
发射频率,fa'she'pin'lv
发射谱,fa'she'pu
发射式电子显微镜,fa'she'shi'dian'zi'xian'wei'jing
发射输出,fa'she'shu'chu
发射特征,fa'she'te'zheng
发射体,fa'she'ti
发射天线,fa'she'tian'xian
发射物质,fa'she'wu'zhi
发射系数,fa'she'xi'shu
发射系统,fa'she'xi'tong
发射效率,fa'she'xiao'lv
发射阴极,fa'she'yin'ji
发射源,fa'she'yuan
发射装置,fa'she'zhuang'zhi
发生费用,fa'sheng'fei'yong
发生故障,fa'sheng'gu'zhang
阀弹簧,fa'tan'huang
法维勒钻井法,fa'wei'le'zuan'jing'fa
法维叶勒伐利极压试验器,fa'wei'ye'le'fa'li'ji'ya'shi'yan'qi
发现,fa'xian
发现成本,fa'xian'cheng'ben
发现者,fa'xian'zhe
法雅归算,fa'ya'gui'suan
法雅异常,fa'ya'yi'chang
发烟硫酸,fa'yan'liu'suan
法语,fa'yu
阀缘,fa'yuan
发站,fa'zhan
发展途径,fa'zhan'tu'jing
翻边,fan'bian
泛点,fan'dian
反对,fan'dui
凡尔体,fan'er'ti
凡尔箱,fan'er'xiang
凡尔座,fan'er'zuo
泛光照明,fan'guang'zhao'ming
泛函,fan'han
泛函分析,fan'han'fen'xi
返回太少,fan'hui'tai'shao
翻浆,fan'jiang
反馈,fan'kui
反馈策略,fan'kui'ce'lue
反馈抽头,fan'kui'chou'tou
反馈导纳,fan'kui'dao'na
反馈电路,fan'kui'dian'lu
反馈放大器,fan'kui'fang'da'qi
反馈放大器特性,fan'kui'fang'da'qi'te'xing
反馈解,fan'kui'jie
反馈矩阵,fan'kui'ju'zhen
反馈控制,fan'kui'kong'zhi
反馈控制器,fan'kui'kong'zhi'qi
反馈连接,fan'kui'lian'jie
反馈滤波器,fan'kui'lv'bo'qi
反馈耦合,fan'kui'ou'he
反馈微分器,fan'kui'wei'fen'qi
反馈系统,fan'kui'xi'tong
反馈系统自动化,fan'kui'xi'tong'zi'dong'hua
反馈线圈,fan'kui'xian'quan
反馈信号,fan'kui'xin'hao
反馈因数,fan'kui'yin'shu
反馈预测法,fan'kui'yu'ce'fa
反馈增益,fan'kui'zeng'yi
反馈装置,fan'kui'zhuang'zhi
泛滥,fan'lan
泛滥地,fan'lan'di
泛滥盆地,fan'lan'pen'di
泛滥平原,fan'lan'ping'yuan
范例,fan'li
范宁公式,fan'ning'gong'shi
范宁摩擦系数,fan'ning'mo'ca'xi'shu
反扭矩,fan'niu'ju
返排,fan'pai
翻砂间旋臂起重机,fan'sha'jian'xuan'bi'qi'zhong'ji
反闪,fan'shan
反射波振幅,fan'she'bo'zhen'fu
反射故障,fan'she'gu'zhang
范氏刻度盘读数,fan'shi'ke'du'pan'du'shu
范氏摩擦系数,fan'shi'mo'ca'xi'shu
范氏粘度计,fan'shi'nian'du'ji
范氏旋转粘度计,fan'shi'xuan'zhuan'nian'du'ji
番薯片,fan'shu'pian
钒铁,fan'tie
反向电渗析,fan'xiang'dian'shen'xi
翻译,fan'yi
返注式套管浮力装置,fan'zhu'shi'tao'guan'fu'li'zhuang'zhi
翻转,fan'zhuan
方案,fang'an
防爆安全阀,fang'bao'an'quan'fa
防爆标准,fang'bao'biao'zhun
防爆的,fang'bao'de
防爆电机,fang'bao'dian'ji
防爆马达,fang'bao'ma'da
防爆门,fang'bao'men
防爆外套,fang'bao'wai'tao
方便旗标,fang'bian'qi'biao
方便旗帜船舶,fang'bian'qi'zhi'chuan'bo
方补心,fang'bu'xin
方补心取出装置,fang'bu'xin'qu'chu'zhuang'zhi
方程解算器,fang'cheng'jie'suan'qi
方程式,fang'cheng'shi
方程组,fang'cheng'zu
放出,fang'chu
放出管,fang'chu'guan
放出气体,fang'chu'qi'ti
纺锤玻璃介属,fang'chui'bo'li'jie'shu
纺锤灰岩,fang'chui'hui'yan
纺锤属,fang'chui'shu
纺锤形大类,fang'chui'xing'da'lei
放大倍数,fang'da'bei'shu
放大的图格,fang'da'de'tu'ge
放大模型,fang'da'mo'xing
放大图,fang'da'tu
放大镶嵌图,fang'da'xiang'qian'tu
放电,fang'dian
放电粉末烧结,fang'dian'fen'mo'shao'jie
放电合成法,fang'dian'he'cheng'fa
放电加工,fang'dian'jia'gong
放电涂覆处理,fang'dian'tu'fu'chu'li
防冻,fang'dong
防冻的,fang'dong'de
防冻阀,fang'dong'fa
防冻剂,fang'dong'ji
防冻套管,fang'dong'tao'guan
方沸石,fang'fei'shi
防风衣,fang'feng'yi
方格水系,fang'ge'shui'xi
妨害,fang'hai
防洪,fang'hong
防洪堤,fang'hong'di
防洪建筑物,fang'hong'jian'zhu'wu
防护堤,fang'hu'di
防护面罩,fang'hu'mian'zhao
防护墙,fang'hu'qiang
防护眼镜,fang'hu'yan'jing
防火,fang'huo
防火安全设计,fang'huo'an'quan'she'ji
防火安全系统,fang'huo'an'quan'xi'tong
防火安全型,fang'huo'an'quan'xing
防火带,fang'huo'dai
防火的,fang'huo'de
防火堤,fang'huo'di
防火帆布,fang'huo'fan'bu
防火隔墙,fang'huo'ge'qiang
防火规范,fang'huo'gui'fan
防火回路,fang'huo'hui'lu
防火监控器,fang'huo'jian'kong'qi
防火门,fang'huo'men
防火墙,fang'huo'qiang
防火区间,fang'huo'qu'jian
防火涂料,fang'huo'tu'liao
防火衣,fang'huo'yi
防火油箱,fang'huo'you'xiang
防火闸阀,fang'huo'zha'fa
防火罩,fang'huo'zhao
放火者,fang'huo'zhe
放进,fang'jin
放静电,fang'jing'dian
放卡瓦,fang'ka'wa
方孔,fang'kong
放空涵洞,fang'kong'han'dong
防滤失剂,fang'lv'shi'ji
放能的,fang'neng'de
放能反应,fang'neng'fan'ying
放能核反应,fang'neng'he'fan'ying
防泡剂,fang'pao'ji
放炮设备,fang'pao'she'bei
防喷盒,fang'pen'he
防喷演习,fang'pen'yan'xi
防碰天车,fang'peng'tian'che
防膨胀,fang'peng'zhang
防膨胀剂,fang'peng'zhang'ji
防燃剂,fang'ran'ji
放热,fang're
放热的,fang're'de
放热反应,fang're'fan'ying
放热化学反应,fang're'hua'xue'fan'ying
放热气体,fang're'qi'ti
放热线,fang're'xian
放热性气体,fang're'xing'qi'ti
方入,fang'ru
防乳剂,fang'ru'ji
防砂,fang'sha
放射,fang'she
放射层,fang'she'ceng
放射电流,fang'she'dian'liu
放射光电管,fang'she'guang'dian'guan
放射理论,fang'she'li'lun
放射衰变,fang'she'shuai'bian
放射性测井,fang'she'xing'ce'jing
放射性沉积物,fang'she'xing'chen'ji'wu
放射性尘降,fang'she'xing'chen'jiang
方式,fang'shi
放松,fang'song
放松银根,fang'song'yin'gen
方位角,fang'wei'jiao
防污染,fang'wu'ran
仿形车床,fang'xing'che'chuang
仿形法,fang'xing'fa
仿型加工,fang'xing'jia'gong
方形检波器组合,fang'xing'jian'bo'qi'zu'he
防汛抢险,fang'xun'qiang'xian
放压管线,fang'ya'guan'xian
放液嘴,fang'ye'zui
方余,fang'yu
放在漏斗上的折叠滤纸,fang'zai'lou'dou'shang'de'zhe'die'lv'zhi
仿真,fang'zhen
仿真程序,fang'zhen'cheng'xu
防震措施,fang'zhen'cuo'shi
防震建筑,fang'zhen'jian'zhu
仿真器,fang'zhen'qi
放置,fang'zhi
放置孔穴,fang'zhi'kong'xue
方钻杆,fang'zuan'gan
方钻杆补心海拔高度,fang'zuan'gan'bu'xin'hai'ba'gao'du
方钻杆旋扣器,fang'zuan'gan'xuan'kou'qi
方钻杆旋塞,fang'zuan'gan'xuan'sai
费班纳赛法,fei'ban'na'sai'fa
费班纳赛检索,fei'ban'na'sai'jian'suo
费班纳赛数,fei'ban'na'sai'shu
非本征不稳定性,fei'ben'zheng'bu'wen'ding'xing
非本征导电,fei'ben'zheng'dao'dian
非本征的稳定性,fei'ben'zheng'de'wen'ding'xing
非本征光电发射,fei'ben'zheng'guang'dian'fa'she
非本征光效应,fei'ben'zheng'guang'xiao'ying
非本征性质,fei'ben'zheng'xing'zhi
非常的,fei'chang'de
非常光线光谱,fei'chang'guang'xian'guang'pu
非常时期,fei'chang'shi'qi
非常手段,fei'chang'shou'duan
废长丝,fei'chang'si
非常项目,fei'chang'xiang'mu
飞出,fei'chu
飞刀,fei'dao
飞点,fei'dian
沸点测定法,fei'dian'ce'ding'fa
沸点测定计,fei'dian'ce'ding'ji
沸点计,fei'dian'ji
飞点扫描器,fei'dian'sao'miao'qi
飞点扫描数字化仪,fei'dian'sao'miao'shu'zi'hua'yi
飞点扫描显微镜,fei'dian'sao'miao'xian'wei'jing
废动力液,fei'dong'li'ye
费尔干蚌属,fei'er'gan'bang'shu
非法代码,fei'fa'dai'ma
非固有的,fei'gu'you'de
非固有吸收,fei'gu'you'xi'shou
飞航高度,fei'hang'gao'du
飞弧,fei'hu
飞灰处理,fei'hui'chu'li
非挥发性烃,fei'hui'fa'xing'ting
飞灰水泥,fei'hui'shui'ni
飞灰型火山灰,fei'hui'xing'huo'shan'hui
飞机编队低空飞行,fei'ji'bian'dui'di'kong'fei'xing
飞机航线偏差,fei'ji'hang'xian'pian'cha
非结构镜质体,fei'jie'gou'jing'zhi'ti
费杰核窗,fei'jie'he'chuang
飞近探测,fei'jin'tan'ce
斐克定律,fei'ke'ding'lv
费拉里感应测试仪器,fei'la'li'gan'ying'ce'shi'yi'qi
肥沥青,fei'li'qing
费里铜镍合金,fei'li'tong'nie'he'jin
肥料,fei'liao
费林溶液,fei'lin'rong'ye
飞轮,fei'lun
飞轮齿圈,fei'lun'chi'quan
飞轮的阻尼作用,fei'lun'de'zu'ni'zuo'yong
飞轮滑轮,fei'lun'hua'lun
费伦提雪莱粘度计,fei'lun'ti'xue'lai'nian'du'ji
飞轮转动,fei'lun'zhuan'dong
费马路径,fei'ma'lu'jing
费马射线路径,fei'ma'she'xian'lu'jing
费马数,fei'ma'shu
费马原理,fei'ma'yuan'li
肥煤,fei'mei
费米,fei'mi
飞米,fei'mi
费米能级,fei'mi'neng'ji
费米子,fei'mi'zi
飞母托,fei'mu'tuo
菲涅耳带,fei'nie'er'dai
菲涅耳积分,fei'nie'er'ji'fen
菲涅耳区,fei'nie'er'qu
菲涅耳全息图,fei'nie'er'quan'xi'tu
菲涅耳透镜,fei'nie'er'tou'jing
菲涅耳衍射,fei'nie'er'yan'she
肥胖的,fei'pang'de
废气,fei'qi
废汽,fei'qi
肥气,fei'qi
废气供暖,fei'qi'gong'nuan
废气热交换器,fei'qi're'jiao'huan'qi
废气温度,fei'qi'wen'du
废气涡轮增压机,fei'qi'wo'lun'zeng'ya'ji
废气再循环,fei'qi'zai'xun'huan
废热,fei're
非商品性石油产品,fei'shang'pin'xing'shi'you'chan'pin
飞速的,fei'su'de
非特,fei'te
沸腾,fei'teng
沸腾床,fei'teng'chuang
沸腾床反应器,fei'teng'chuang'fan'ying'qi
沸腾干燥器,fei'teng'gan'zao'qi
沸腾钢,fei'teng'gang
沸腾蒸发,fei'teng'zheng'fa
费托法,fei'tuo'fa
费托合成过程,fei'tuo'he'cheng'guo'cheng
霏细安山岩,fei'xi'an'shan'yan
霏细斑岩,fei'xi'ban'yan
霏细斑状结构,fei'xi'ban'zhuang'jie'gou
霏细玢岩,fei'xi'bin'yan
霏细球粒,fei'xi'qiu'li
霏细碎裂结构,fei'xi'sui'lie'jie'gou
霏细岩,fei'xi'yan
费歇尔欧文检验,fei'xie'er'ou'wen'jian'yan
费歇尔信息测度,fei'xie'er'xin'xi'ce'du
费歇尔耶茨检验,fei'xie'er'ye'ci'jian'yan
飞行,fei'xing
飞行计划,fei'xing'ji'hua
飞行控制,fei'xing'kong'zhi
飞行图,fei'xing'tu
飞行物,fei'xing'wu
费雪催化剂,fei'xue'cui'hua'ji
废液,fei'ye
粪便铸型,fen'bian'zhu'xing
分步抽提,fen'bu'chou'ti
分步结晶,fen'bu'jie'jing
分册,fen'ce
分层压裂,fen'ceng'ya'lie
分叉,fen'cha
分叉岩层,fen'cha'yan'ceng
分出信号,fen'chu'xin'hao
分度误差,fen'du'wu'cha
分段沉淀,fen'duan'chen'dian
分段下钻,fen'duan'xia'zuan
分幅摄影术,fen'fu'she'ying'shu
芬格雷克阶,fen'ge'lei'ke'jie
分级,fen'ji
分级箍,fen'ji'gu
分级冷凝器,fen'ji'leng'ning'qi
分级凝固,fen'ji'ning'gu
分级注水泥,fen'ji'zhu'shui'ni
分开,fen'kai
粪粒泥,fen'li'ni
分离器,fen'li'qi
分离说,fen'li'shuo
分裂后获得的,fen'lie'hou'huo'de'de
分馏,fen'liu
分流量,fen'liu'liang
分馏塔,fen'liu'ta
分馏稳定,fen'liu'wen'ding
分馏效率,fen'liu'xiao'lv
分馏装置,fen'liu'zhuang'zhi
粉末,fen'mo
粉末催化剂,fen'mo'cui'hua'ji
粉末状的铁磁物质,fen'mo'zhuang'de'tie'ci'wu'zhi
分凝,fen'ning
分频,fen'pin
分频器,fen'pin'qi
分频通道放大器,fen'pin'tong'dao'fang'da'qi
分散,fen'san
分散良好的,fen'san'liang'hao'de
分式的,fen'shi'de
分式迭代,fen'shi'die'dai
分式指数,fen'shi'zhi'shu
分数,fen'shu
粉属,fen'shu
分数部分,fen'shu'bu'fen
分数电荷,fen'shu'dian'he
分数计算机,fen'shu'ji'suan'ji
分数维,fen'shu'wei
芬斯克公式,fen'si'ke'gong'shi
分位数,fen'wei'shu
分析,fen'xi
分析官能团,fen'xi'guan'neng'tuan
分析和解释,fen'xi'he'jie'shi
分析用配定试剂,fen'xi'yong'pei'ding'shi'ji
分相流动,fen'xiang'liu'dong
分相流动公式,fen'xiang'liu'dong'gong'shi
分巷数据,fen'xiang'shu'ju
分形,fen'xing
分形几何,fen'xing'ji'he
分压,fen'ya
分压指示器,fen'ya'zhi'shi'qi
分支机构,fen'zhi'ji'gou
分支进程,fen'zhi'jin'cheng
封闭的,feng'bi'de
封闭港湾,feng'bi'gang'wan
封闭环境,feng'bi'huan'jing
封闭盆地,feng'bi'pen'di
封闭式,feng'bi'shi
封闭式齿轮传动装置,feng'bi'shi'chi'lun'chuan'dong'zhuang'zhi
封闭式电机,feng'bi'shi'dian'ji
封闭式叶轮,feng'bi'shi'ye'lun
封闭水域,feng'bi'shui'yu
封闭型电动机,feng'bi'xing'dian'dong'ji
风成沉积,feng'cheng'chen'ji
风成沉积作用,feng'cheng'chen'ji'zuo'yong
风成的,feng'cheng'de
风成环境,feng'cheng'huan'jing
风成交错层,feng'cheng'jiao'cuo'ceng
风成砂,feng'cheng'sha
