阿那吒王,a'na'zha'wang
主兽鬼王,zhu'shou'gui'wang
诸天眷属,zhu'tian'juan'shu
诸天卫护,zhu'tian'wei'hu
主险鬼王,zhu'xian'gui'wang
诸贤圣像前,zhu'xian'sheng'xiang'qian
诸相圆满,zhu'xiang'yuan'man
主阎浮人命,zhu'yan'fu'ren'ming
诸有地狱,zhu'you'di'yu
诸狱相连,zhu'yu'xiang'lian
诸罪结集,zhu'zui'jie'ji
诸罪苦众生,zhu'zui'ku'zhong'sheng
煮罪人身,zhu'zui'ren'shen
转大法轮,zhuan'da'fa'lun
转读尊经,zhuan'du'zun'jing
转复困重,zhuan'fu'kun'zhong
转复尪瘵,zhuan'fu'wang'zhai
转寄他方,zhuan'ji'ta'fang
转轮王形像,zhuan'lun'wang'xing'xiang
转增安乐,zhuan'zeng'an'le
转增深重,zhuan'zeng'shen'zhong
转增圣因,zhuan'zeng'sheng'yin
转增天福,zhuan'zeng'tian'fu
庄园房舍,zhuang'yuan'fang'she
庄园舍宅,zhuang'yuan'she'zhai
自别汝来,zi'bie'ru'lai
自称自念,zi'cheng'zi'nian
自得大利,zi'de'da'li
资福救拔,zi'fu'jiu'ba
紫毫相光,zi'hao'xiang'guang
自见其身遍卧满床,zi'jian'qi'shen'bian'wo'man'chuang
自今以后,zi'jin'yi'hou
自令土地,zi'ling'tu'di
子母俱损,zi'mu'ju'sun
恣情食啖,zi'qing'shi'dan
自取其死,zi'qu'qi'si
自然毕竟出离苦海,zi'ran'bi'jing'chu'li'ku'hai
自然无惧,zi'ran'wu'ju
自然先渡此海,zi'ran'xian'du'ci'hai
自然于无上道,zi'ran'yu'wu'shang'dao
恣汝所问,zi'ru'suo'wen
自是阎浮众生,zi'shi'yan'fu'zhong'sheng
自是众生,zi'shi'zhong'sheng
自受恶趣,zi'shou'e'qu
自书此经,zi'shu'ci'jing
自现声闻身,zi'xian'sheng'wen'shen
恣行淫欲,zi'xing'yin'yu
自言因是迷故,zi'yan'yin'shi'mi'gu
字曰光目,zi'yue'guang'mu
自在未曾有,zi'zai'wei'ceng'you
资助业道,zi'zhu'ye'dao
纵堕恶趣寻出离,zong'duo'e'qu'xun'chu'li
纵发善心,zong'fa'shan'xin
总令解脱,zong'ling'jie'tuo
纵然相逢,zong'ran'xiang'feng
纵受人身,zong'shou'ren'shen
纵遇明师,zong'yu'ming'shi
卒白难竟,zu'bai'nan'jing
足步深邃,zu'bu'shen'sui
卒难得出,zu'nan'de'chu
罪报名号如是,zui'bao'ming'hao'ru'shi
最不思议,zui'bu'si'yi
罪行业感,zui'hang'ye'gan
罪苦之事,zui'ku'zhi'shi
罪器叉棒,zui'qi'cha'bang
尊者慈愍,zun'zhe'ci'min
作此菩萨,zuo'ci'pu'sa
作大鬼王,zuo'da'gui'wang
作大证明功德主,zuo'da'zheng'ming'gong'de'zhu
作地藏形像,zuo'di'zang'xing'xiang
作何行业,zuo'he'hang'ye
作何行愿,zuo'he'xing'yuan
作礼而退,zuo'li'er'tui
作礼者,zuo'li'zhe
作其龛室,zuo'qi'kan'shi
作如是供养,zuo'ru'shi'gong'yang
作一恒河,zuo'yi'heng'he
左右扶侍,zuo'you'fu'shi
作诸伎乐,zuo'zhu'ji'yue
