阿巴迪征,a'ba'di'zheng
异戊巴比妥,yi'wu'ba'bi'tuo
乙烯雌酚,yi'xi'ci'fen
乙酰胆碱,yi'xian'dan'jian
乙酰胆碱能通路,yi'xian'dan'jian'neng'tong'lu
乙酰胆碱脂酶,yi'xian'dan'jian'zhi'mei
乙酰非那嗪,yi'xian'fei'na'qin
乙酰谷氨酰胺,yi'xian'gu'an'xian'an
乙酰螺旋霉素,yi'xian'luo'xuan'mei'su
乙酰水杨酸,yi'xian'shui'yang'suan
乙酰氧肟酸,yi'xian'yang'wo'suan
乙酰唑胺,yi'xian'zuo'an
意向缺失,yi'xiang'que'shi
意向性痉挛,yi'xiang'xing'jing'luan
意向性震颤,yi'xiang'xing'zhen'chan
意向震颤,yi'xiang'zhen'chan
异烟肼,yi'yan'jing
癔症性癫痫,yi'zheng'xing'dian'xian
抑制区,yi'zhi'qu
抑制性突触,yi'zhi'xing'tu'chu
乙状窦,yi'zhuang'dou
一字步,yi'zi'bu
蚓部,yin'bu
引出,yin'chu
吲哚洛尔,yin'duo'luo'er
吲哚美辛,yin'duo'mei'xin
阴囊反射,yin'nang'fan'she
隐期神经胶质瘤,yin'qi'shen'jing'jiao'zhi'liu
隐球菌的,yin'qiu'jun'de
隐神经痛,yin'shen'jing'tong
隐窝,yin'wo
隐袭的,yin'xi'de
茚心安,yin'xin'an
隐性,yin'xing
隐性脊柱裂,yin'xing'ji'zhu'lie
隐性脑积水,yin'xing'nao'ji'shui
隐性神经系统的,yin'xing'shen'jing'xi'tong'de
硬腭枕大孔线,ying'e'zhen'da'kong'xian
婴儿痴呆,ying'er'chi'dai
婴儿低肌张力综合征,ying'er'di'ji'zhang'li'zong'he'zheng
婴儿骨皮质增生症,ying'er'gu'pi'zhi'zeng'sheng'zheng
婴儿肌病,ying'er'ji'bing
婴儿脊肌萎缩症,ying'er'ji'ji'wei'suo'zheng
婴儿进行性大脑变性,ying'er'jin'xing'xing'da'nao'bian'xing
婴儿痉挛症,ying'er'jing'luan'zheng
婴儿脑病,ying'er'nao'bing
婴儿偏瘫,ying'er'pian'tan
婴儿神经轴营养不良,ying'er'shen'jing'zhou'ying'yang'bu'liang
荧光显微镜,ying'guang'xian'wei'jing
硬化,ying'hua
硬脊膜周围炎,ying'ji'mo'zhou'wei'yan
硬膜,ying'mo
硬膜外腔,ying'mo'wai'qiang
硬脑膜,ying'nao'mo
硬脑膜病,ying'nao'mo'bing
硬脑膜内层炎,ying'nao'mo'nei'ceng'yan
硬脑膜内的,ying'nao'mo'nei'de
硬脑膜外层炎,ying'nao'mo'wai'ceng'yan
硬脑膜外脓肿,ying'nao'mo'wai'nong'zhong
硬脑膜外血肿,ying'nao'mo'wai'xue'zhong
硬脑膜下积脓,ying'nao'mo'xia'ji'nong
硬脑膜下脓肿,ying'nao'mo'xia'nong'zhong
硬脑膜下水瘤,ying'nao'mo'xia'shui'liu
硬脑膜下血肿,ying'nao'mo'xia'xue'zhong
硬脑膜血肿,ying'nao'mo'xue'zhong
硬脑膜炎,ying'nao'mo'yan
罂粟碱,ying'su'jian
营养不良,ying'yang'bu'liang
营养神经病,ying'yang'shen'jing'bing
拥抱反射,yong'bao'fan'she
幼儿型家族性黑蒙性白痴,you'er'xing'jia'zu'xing'hei'meng'xing'bai'chi
诱发电位,you'fa'dian'wei
油镜法,you'jing'fa
游离感觉末梢,you'li'gan'jue'mo'shao
优势,you'shi
优势半球,you'shi'ban'qiu
优势半球角回损害,you'shi'ban'qiu'jiao'hui'sun'hai
有髓的,you'sui'de
有髓神经纤维变性小体,you'sui'shen'jing'xian'wei'bian'xing'xiao'ti
有髓纤维,you'sui'xian'wei
幼听,you'ting
右旋苯异丙胺,you'xuan'ben'yi'bing'an
有意识的失语,you'yi'shi'de'shi'yu
忧郁症,you'yu'zheng
语法错乱,yu'fa'cuo'luan
预后,yu'hou
阈值,yu'zhi
远端肌营养不良症,yuan'duan'ji'ying'yang'bu'liang'zheng
原发性,yuan'fa'xing
原发性脊髓侧索硬化,yuan'fa'xing'ji'sui'ce'suo'ying'hua
原发性肌阵挛,yuan'fa'xing'ji'zhen'luan
原浆性神经胶质细胞,yuan'jiang'xing'shen'jing'jiao'zhi'xi'bao
原浆性星形胶质细,yuan'jiang'xing'xing'xing'jiao'zhi'xi
缘上回,yuan'shang'hui
远事记忆,yuan'shi'ji'yi
猿手,yuan'shou
原因不明,yuan'yin'bu'ming
圆锥,yuan'zhui
阅读不能,yue'du'bu'neng
阅读过慢,yue'du'guo'man
月经,yue'jing
约利反应,yue'li'fan'ying
月状沟,yue'zhuang'gou
运动不能,yun'dong'bu'neng
运动不能发作,yun'dong'bu'neng'fa'zuo
运动不能强直综合征,yun'dong'bu'neng'qiang'zhi'zong'he'zheng
运动迟缓,yun'dong'chi'huan
运动过度,yun'dong'guo'du
运动过多,yun'dong'guo'duo
运动减少,yun'dong'jian'shao
运动觉,yun'dong'jue
运动疗法,yun'dong'liao'fa
运动神经进入肌肉处,yun'dong'shen'jing'jin'ru'ji'rou'chu
运动神经元病,yun'dong'shen'jing'yuan'bing
运动失调矫正法,yun'dong'shi'tiao'jiao'zheng'fa
运动性失语,yun'dong'xing'shi'yu
运动正常,yun'dong'zheng'chang
运动终板,yun'dong'zhong'ban
运动中枢,yun'dong'zhong'shu
晕厥,yun'jue
运用障碍,yun'yong'zhang'ai
躁狂状态,zao'kuang'zhuang'tai
早老性痴呆,zao'lao'xing'chi'dai
藻酸双酯钠,zao'suan'shuang'zhi'na
增生,zeng'sheng
栅栏形成,zha'lan'xing'cheng
眨眼,zha'yan
窄缩,zhai'suo
谵妄,zhan'wang
占位,zhan'wei
障碍,zhang'ai
张伯伦线,zhang'bo'lun'xian
爪形手,zhao'xing'shou
折刀现象,zhe'dao'xian'xiang
折刀样,zhe'dao'yang
折刀状发作,zhe'dao'zhuang'fa'zuo
震颤,zhen'chan
震颤麻痹,zhen'chan'ma'bi
震颤性步行不能,zhen'chan'xing'bu'xing'bu'neng
针刺,zhen'ci
震荡,zhen'dang
振动幻视,zhen'dong'huan'shi
震动觉,zhen'dong'jue
振动觉,zhen'dong'jue
振动觉减退,zhen'dong'jue'jian'tui
振动觉缺失,zhen'dong'jue'que'shi
振动性眼球震颤,zhen'dong'xing'yan'qiu'zhen'chan
枕窦,zhen'dou
阵发性,zhen'fa'xing
阵发性震颤步行不能,zhen'fa'xing'zhen'chan'bu'xing'bu'neng
枕骨大孔,zhen'gu'da'kong
枕骨底部的,zhen'gu'di'bu'de
枕横沟,zhen'heng'gou
枕极,zhen'ji
枕角,zhen'jiao
镇静,zhen'jing
镇静剂,zhen'jing'ji
阵挛,zhen'luan
阵挛发作,zhen'luan'fa'zuo
阵挛性痉挛,zhen'luan'xing'jing'luan
枕颞内侧回,zhen'nie'nei'ce'hui
枕颞区,zhen'nie'qu
枕颞外侧回,zhen'nie'wai'ce'hui
枕钳,zhen'qian
枕前切迹,zhen'qian'qie'ji
枕神经病,zhen'shen'jing'bing
枕外侧沟,zhen'wai'ce'gou
枕叶,zhen'ye
枕叶缺失,zhen'ye'que'shi
正常钾性周期性瘫痪,zheng'chang'jia'xing'zhou'qi'xing'tan'huan
整体反应障碍,zheng'ti'fan'ying'zhang'ai
正中孔,zheng'zhong'kong
正中隆起,zheng'zhong'long'qi
直肠,zhi'chang
肢带肌,zhi'dai'ji
肢带肌营养不良,zhi'dai'ji'ying'yang'bu'liang
肢端感觉异常,zhi'duan'gan'jue'yi'chang
肢端麻木,zhi'duan'ma'mu
跖反射,zhi'fan'she
指反射,zhi'fan'she
脂肪瘤,zhi'fang'liu
脂肪栓塞,zhi'fang'shuan'se
脂褐素,zhi'he'su
直回,zhi'hui
肢肌肉痛,zhi'ji'rou'tong
知觉,zhi'jue
智力测验器,zhi'li'ce'yan'qi
智力迟钝,zhi'li'chi'dun
智力迟滞,zhi'li'chi'zhi
肢麻痹,zhi'ma'bi
质膜,zhi'mo
致脑炎的,zhi'nao'yan'de
智能缺陷,zhi'neng'que'xian
脂色素,zhi'se'su
致神经病性,zhi'shen'jing'bing'xing
肢神经痛,zhi'shen'jing'tong
脂神经细胞,zhi'shen'jing'xi'bao
肢体肥大症,zhi'ti'fei'da'zheng
肢体感,zhi'ti'gan
肢体感觉缺失,zhi'ti'gan'jue'que'shi
肢体感觉异常,zhi'ti'gan'jue'yi'chang
肢体神经官能症,zhi'ti'shen'jing'guan'neng'zheng
肢体疼痛症,zhi'ti'teng'tong'zheng
肢体硬化症,zhi'ti'ying'hua'zheng
肢体运动失用,zhi'ti'yun'dong'shi'yong
掷铁饼姿势,zhi'tie'bing'zi'shi
肢痛,zhi'tong
肢痛症,zhi'tong'zheng
植物状态,zhi'wu'zhuang'tai
窒息,zhi'xi
职业性痉挛,zhi'ye'xing'jing'luan
支原体,zhi'yuan'ti
脂质沉积肌病,zhi'zhi'chen'ji'ji'bing
脂质沉积症,zhi'zhi'chen'ji'zheng
制止说话区,zhi'zhi'shuo'hua'qu
终板,zhong'ban
终板旁回,zhong'ban'pang'hui
终板血管器,zhong'ban'xue'guan'qi
中耳化脓性疾病,zhong'er'hua'nong'xing'ji'bing
中耳炎性脑炎,zhong'er'yan'xing'nao'yan
中风,zhong'feng
中风性昏迷,zhong'feng'xing'hun'mi
终沟,zhong'gou
中间清醒期,zhong'jian'qing'xing'qi
中间神经,zhong'jian'shen'jing
中间柱,zhong'jian'zhu
终结,zhong'jie
终膜,zhong'mo
中脑,zhong'nao
中脑垂体的,zhong'nao'chui'ti'de
中脑多巴胺能通路,zhong'nao'duo'ba'an'neng'tong'lu
中脑红核综合征,zhong'nao'hong'he'zong'he'zheng
中脑切开术,zhong'nao'qie'kai'shu
中脑外侧沟,zhong'nao'wai'ce'gou
中脑炎,zhong'nao'yan
终室,zhong'shi
中枢,zhong'shu
中枢神经系统血管瘤病,zhong'shu'shen'jing'xi'tong'xue'guan'liu'bing
中枢神经再生,zhong'shu'shen'jing'zai'sheng
中枢性暗觉,zhong'shu'xing'an'jue
中枢兴奋状态,zhong'shu'xing'fen'zhuang'tai
中暑性痉挛,zhong'shu'xing'jing'luan
中枢性疼痛,zhong'shu'xing'teng'tong
中枢性运动,zhong'shu'xing'yun'dong
终丝,zhong'si
终纹,zhong'wen
中线结构移位,zhong'xian'jie'gou'yi'wei
中性粒细胞,zhong'xing'li'xi'bao
中央沟,zhong'yang'gou
中央沟定位法,zhong'yang'gou'ding'wei'fa
中央管,zhong'yang'guan
中央后沟,zhong'yang'hou'gou
中央后回,zhong'yang'hou'hui
中央灰质,zhong'yang'hui'zhi
中央前发音区,zhong'yang'qian'fa'yin'qu
中央前沟,zhong'yang'qian'gou
中央前回,zhong'yang'qian'hui
中央前区,zhong'yang'qian'qu
中央性脊髓出血,zhong'yang'xing'ji'sui'chu'xie
中央轴突症,zhong'yang'zhou'tu'zheng
肿胀,zhong'zhang
重症肌无力,zhong'zheng'ji'wu'li
重症肌无力综合征,zhong'zheng'ji'wu'li'zong'he'zheng
轴棘突触,zhou'ji'tu'chu
轴浆流,zhou'jiang'liu
轴浆输送,zhou'jiang'shu'song
轴膜,zhou'mo
周期性麻痹,zhou'qi'xing'ma'bi
周期性偏头痛兼眼肌麻痹,zhou'qi'xing'pian'tou'tong'jian'yan'ji'ma'bi
轴丘,zhou'qiu
轴树突触,zhou'shu'tu'chu
轴索,zhou'suo
轴索蛋白,zhou'suo'dan'bai
轴体突触,zhou'ti'tu'chu
轴突,zhou'tu
轴突海绵质,zhou'tu'hai'mian'zhi
轴突起始段,zhou'tu'qi'shi'duan
轴突起始段突触,zhou'tu'qi'shi'duan'tu'chu
轴突中断,zhou'tu'zhong'duan
周围的,zhou'wei'de
周围神经分布界限,zhou'wei'shen'jing'fen'bu'jie'xian
周围神经松解法,zhou'wei'shen'jing'song'jie'fa
周围神经痛,zhou'wei'shen'jing'tong
周围神经再生,zhou'wei'shen'jing'zai'sheng
轴伪足,zhou'wei'zu
粥样斑,zhou'yang'ban
轴轴突触,zhou'zhou'tu'chu
舟状头,zhou'zhuang'tou
主动违拗症,zhu'dong'wei'ao'zheng
潴留,zhu'liu
侏儒症,zhu'ru'zheng
注射,zhu'she
蛛网膜,zhu'wang'mo
蛛网膜颗粒,zhu'wang'mo'ke'li
蛛网膜孔,zhu'wang'mo'kong
蛛网膜绒毛,zhu'wang'mo'rong'mao
蛛网膜下腔,zhu'wang'mo'xia'qiang
蛛网膜炎,zhu'wang'mo'yan
注意性瞳孔反射,zhu'yi'xing'tong'kong'fan'she
转换性癔病,zhuan'huan'xing'yi'bing
转头痉挛,zhuan'tou'jing'luan
转移,zhuan'yi
转移性肿瘤,zhuan'yi'xing'zhong'liu
转移因子,zhuan'yi'yin'zi
状体脊髓变性,zhuang'ti'ji'sui'bian'xing
锥虫病,zhui'chong'bing
椎动脉血管造影,zhui'dong'mai'xue'guan'zao'ying
椎管穿刺,zhui'guan'chuan'ci
椎管积液,zhui'guan'ji'ye
椎管内出血,zhui'guan'nei'chu'xue
椎基动脉供血不,zhui'ji'dong'mai'gong'xue'bu
椎间盘突出症,zhui'jian'pan'tu'chu'zheng
锥体,zhui'ti
锥体交叉,zhui'ti'jiao'cha
锥体前束,zhui'ti'qian'shu
锥体束,zhui'ti'shu
锥体外系疾病,zhui'ti'wai'xi'ji'bing
锥体外系统,zhui'ti'wai'xi'tong
灼性神经痛,zhuo'xing'shen'jing'tong
自动症,zi'dong'zheng
自发,zi'fa
自发性眼球震颤,zi'fa'xing'yan'qiu'zhen'chan
字迹模糊,zi'ji'mo'hu
姿势反射,zi'shi'fan'she
姿势性震颤,zi'shi'xing'zhen'chan
自体感知不能,zi'ti'gan'zhi'bu'neng
自体结构失认,zi'ti'jie'gou'shi'ren
紫外线显微镜,zi'wai'xian'xian'wei'jing
自主神经系,zi'zhu'shen'jing'xi
自主神经原性膀胱,zi'zhu'shen'jing'yuan'xing'pang'guang
自主神经中枢,zi'zhu'shen'jing'zhong'shu
自主性膀胱,zi'zhu'xing'pang'guang
总体反射,zong'ti'fan'she
组胺性头痛,zu'an'xing'tou'tong
阻塞性脑积水,zu'se'xing'nao'ji'shui
组织学,zu'zhi'xue
最后区,zui'hou'qu
最外囊,zui'wai'nang
坐骨神经痛,zuo'gu'shen'jing'tong
坐骨神经炎,zuo'gu'shen'jing'yan
左旋多巴,zuo'xuan'duo'ba
左旋千金藤立啶,zuo'xuan'qian'jin'teng'li'ding
左右感觉障碍,zuo'you'gan'jue'zhang'ai
