阿贝他片苯扎贝特,a'bei'ta'pian'ben'zha'bei'te
胆囊瘘,dan'nang'lou
胆囊瘘修补术,dan'nang'lou'xiu'bu'shu
胆囊粘膜息肉,dan'nang'nian'mo'xi'rou
胆囊扭转,dan'nang'niu'zhuan
胆囊脓肿,dan'nang'nong'zhong
胆囊切除术,dan'nang'qie'chu'shu
胆囊切除术后,dan'nang'qie'chu'shu'hou
胆囊切除术后粘连,dan'nang'qie'chu'shu'hou'zhan'lian
胆囊切除术后综合征,dan'nang'qie'chu'shu'hou'zong'he'zheng
胆囊切除术总胆管探查,dan'nang'qie'chu'shu'zong'dan'guan'tan'cha
胆囊切开取石术,dan'nang'qie'kai'qu'shi'shu
胆囊切开取异物术,dan'nang'qie'kai'qu'yi'wu'shu
胆囊切开引流术,dan'nang'qie'kai'yin'liu'shu
胆囊十二指肠瘘,dan'nang'shi'er'zhi'chang'lou
胆囊十二指肠吻合术,dan'nang'shi'er'zhi'chang'wen'he'shu
胆囊十二脂肠吻合术,dan'nang'shi'er'zhi'chang'wen'he'shu
胆囊损伤,dan'nang'sun'shang
胆囊胃瘘,dan'nang'wei'lou
胆囊萎缩,dan'nang'wei'suo
胆囊胃吻合术,dan'nang'wei'wen'he'shu
胆囊息肉,dan'nang'xi'rou
胆囊吸引针,dan'nang'xi'yin'zhen
胆囊炎,dan'nang'yan
胆囊胰吻合术,dan'nang'yi'wen'he'shu
胆囊原位癌,dan'nang'yuan'wei'ai
胆囊运动障碍,dan'nang'yun'dong'zhang'ai
胆囊造瘘术,dan'nang'zao'lou'shu
胆囊造瘘术后,dan'nang'zao'lou'shu'hou
胆囊造瘘术后关闭,dan'nang'zao'lou'shu'hou'guan'bi
胆囊造影术,dan'nang'zao'ying'shu
胆囊占位性病变,dan'nang'zhan'wei'xing'bing'bian
胆囊肿物,dan'nang'zhong'wu
胆囊周围脓肿,dan'nang'zhou'wei'nong'zhong
胆囊周炎,dan'nang'zhou'yan
单颞颌关节炎,dan'nie'he'guan'jie'yan
胆宁片,dan'ning'pian
单宁酸,dan'ning'suan
丹皮,dan'pi
丹皮免煎,dan'pi'mian'jian
氮气,dan'qi
丹七片,dan'qi'pian
单腔吸氧导管,dan'qiang'xi'yang'dao'guan
单腔心脏起博器,dan'qiang'xin'zang'qi'bo'qi
单上睑疤切除植皮术,dan'shang'jian'ba'qie'chu'zhi'pi'shu
丹参,dan'shen
单肾,dan'shen
单神经炎,dan'shen'jing'yan
丹参免煎,dan'shen'mian'jian
丹参片,dan'shen'pian
丹参舒心胶囊,dan'shen'shu'xin'jiao'nang
丹参注射液,dan'shen'zhu'she'ye
胆石清片,dan'shi'qing'pian
胆石通胶囊,dan'shi'tong'jiao'nang
胆石症,dan'shi'zheng
胆石症伴胆囊炎,dan'shi'zheng'ban'dan'nang'yan
胆石症伴急性胆囊炎,dan'shi'zheng'ban'ji'xing'dan'nang'yan
胆石症伴慢性胆囊炎,dan'shi'zheng'ban'man'xing'dan'nang'yan
胆石症术后,dan'shi'zheng'shu'hou
胆舒胶囊,dan'shu'jiao'nang
淡水淹溺,dan'shui'yan'ni
胆酸测定,dan'suan'ce'ding
胆酸钠,dan'suan'na
单胎活产,dan'tai'huo'chan
单胎顺产接生,dan'tai'shun'chan'jie'sheng
单胎死产,dan'tai'si'chan
单糖浆,dan'tang'jiang
单唾液四己糖神经调节苷脂钠,dan'tuo'ye'si'ji'tang'shen'jing'tiao'jie'gan'zhi'na
单唾液酸四己酸神经糖甙脂,dan'tuo'ye'suan'si'ji'suan'shen'jing'tang'dai'zhi
胆维他片,dan'wei'ta'pian
胆维他片茴三硫,dan'wei'ta'pian'hui'san'liu
氮戊溴铵注射液,dan'wu'xiu'an'zhu'she'ye
氮烯米胺注射液,dan'xi'mi'an'zhu'she'ye
胆系造影,dan'xi'zao'ying
单纤维肌电图,dan'xian'wei'ji'dian'tu
单项补体测定,dan'xiang'bu'ti'ce'ding
丹香冠心针,dan'xiang'guan'xin'zhen
弹响髋,dan'xiang'kuan
单项尿糖试纸,dan'xiang'niao'tang'shi'zhi
弹响膝,dan'xiang'xi
弹响指,dan'xiang'zhi
胆小管炎性肝炎,dan'xiao'guan'yan'xing'gan'yan
单硝酸异山梨酯缓释胶囊,dan'xiao'suan'yi'shan'li'zhi'huan'shi'jiao'nang
单硝酸异山梨酯胶囊,dan'xiao'suan'yi'shan'li'zhi'jiao'nang
单硝酸异山梨酯片,dan'xiao'suan'yi'shan'li'zhi'pian
单硝酸异山梨酯片欣康,dan'xiao'suan'yi'shan'li'zhi'pian'xin'kang
单硝酸异山梨酯依姆多,dan'xiao'suan'yi'shan'li'zhi'yi'mu'duo
单硝酸异山梨酯针,dan'xiao'suan'yi'shan'li'zhi'zhen
单心房,dan'xin'fang
单芯铝合,dan'xin'lv'he
单心室,dan'xin'shi
单心室分隔术,dan'xin'shi'fen'ge'shu
胆星,dan'xing
单形性腺瘤,dan'xing'xing'xian'liu
单眼盲,dan'yan'mang
单眼视力下降,dan'yan'shi'li'xia'jiang
单眼失明,dan'yan'shi'ming
单盐酸氟西泮胶囊,dan'yan'suan'fu'xi'pan'jiao'nang
丹阳药业有限公司,dan'yang'yao'ye'you'xian'gong'si
单一过敏原体外试验,dan'yi'guo'min'yuan'ti'wai'shi'yan
单一活产入院前出生,dan'yi'huo'chan'ru'yuan'qian'chu'sheng
单一肋骨肿瘤局部切除术,dan'yi'lei'gu'zhong'liu'ju'bu'qie'chu'shu
单一死产,dan'yi'si'chan
氮意外中毒,dan'yi'wai'zhong'du
单一腕骨肿瘤刮除术,dan'yi'wan'gu'zhong'liu'gua'chu'shu
单一掌骨肿瘤刮除术,dan'yi'zhang'gu'zhong'liu'gua'chu'shu
单一指骨肿瘤刮除术,dan'yi'zhi'gu'zhong'liu'gua'chu'shu
胆影葡安药物反应,dan'ying'pu'an'yao'wu'fan'ying
胆影葡胺注射液,dan'ying'pu'an'zhu'she'ye
单玉玲,dan'yu'ling
胆源性胰腺炎,dan'yuan'xing'yi'xian'yan
单支冠状动脉主动脉搭桥术,dan'zhi'guan'zhuang'dong'mai'zhu'dong'mai'da'qiao'shu
胆脂瘤性中耳炎,dan'zhi'liu'xing'zhong'er'yan
胆汁浓缩综合征,dan'zhi'nong'suo'zong'he'zheng
胆汁培养加药敏,dan'zhi'pei'yang'jia'yao'min
胆汁酸,dan'zhi'suan
胆汁细菌培养,dan'zhi'xi'jun'pei'yang
胆汁性腹膜炎,dan'zhi'xing'fu'mo'yan
胆汁性肝硬变,dan'zhi'xing'gan'ying'bian
胆汁性肝硬化,dan'zhi'xing'gan'ying'hua
胆汁性胸膜炎,dan'zhi'xing'xiong'mo'yan
胆汁性胰腺炎,dan'zhi'xing'yi'xian'yan
氮质血症,dan'zhi'xue'zheng
胆汁淤积型病毒性肝炎,dan'zhi'yu'ji'xing'bing'du'xing'gan'yan
胆汁郁积性肝炎,dan'zhi'yu'ji'xing'gan'yan
胆汁郁积症,dan'zhi'yu'ji'zheng
单株丙种球蛋白病,dan'zhu'bing'zhong'qiu'dan'bai'bing
淡竹叶,dan'zhu'ye
淡竹叶免煎,dan'zhu'ye'mian'jian
丹状骨骨折切开植骨融合术,dan'zhuang'gu'gu'zhe'qie'kai'zhi'gu'rong'he'shu
氮卓米青霉素,dan'zhuo'mi'qing'mei'su
胆总管病害切除术,dan'zong'guan'bing'hai'qie'chu'shu
胆总管残余结石,dan'zong'guan'can'yu'jie'shi
胆总管恶性肿瘤,dan'zong'guan'e'xing'zhong'liu
胆总管梗阻,dan'zong'guan'geng'zu
胆总管记忆合金支架置入术,dan'zong'guan'ji'yi'he'jin'zhi'jia'zhi'ru'shu
胆总管结石,dan'zong'guan'jie'shi
胆总管结石伴胆囊炎,dan'zong'guan'jie'shi'ban'dan'nang'yan
胆总管结石伴急性胆囊炎,dan'zong'guan'jie'shi'ban'ji'xing'dan'nang'yan
胆总管结石伴慢性胆囊炎,dan'zong'guan'jie'shi'ban'man'xing'dan'nang'yan
胆总管痉挛,dan'zong'guan'jing'luan
胆总管空肠吻合术,dan'zong'guan'kong'chang'wen'he'shu
胆总管扩张,dan'zong'guan'kuo'zhang
胆总管囊肿,dan'zong'guan'nang'zhong
胆总管囊肿切除术,dan'zong'guan'nang'zhong'qie'chu'shu
胆总管囊肿外引流术,dan'zong'guan'nang'zhong'wai'yin'liu'shu
胆总管切开取石术,dan'zong'guan'qie'kai'qu'shi'shu
胆总管十二指肠瘘,dan'zong'guan'shi'er'zhi'chang'lou
胆总管十二指肠吻合术,dan'zong'guan'shi'er'zhi'chang'wen'he'shu
胆总管探查术,dan'zong'guan'tan'cha'shu
胆总管探查用于解除其他梗阻术,dan'zong'guan'tan'cha'yong'yu'jie'chu'qi'ta'geng'zu'shu
胆总管下端闭锁,dan'zong'guan'xia'duan'bi'suo
胆总管狭窄,dan'zong'guan'xia'zhai
胆总管修复成形术,dan'zong'guan'xiu'fu'cheng'xing'shu
胆总管炎,dan'zong'guan'yan
胆总管阻塞,dan'zong'guan'zu'se
档案袋,dang'an'dai
当飞利肝宁胶囊,dang'fei'li'gan'ning'jiao'nang
当归,dang'gui
当归浸膏片,dang'gui'jin'gao'pian
当归免煎,dang'gui'mian'jian
当归片,dang'gui'pian
当归素片,dang'gui'su'pian
当归丸,dang'gui'wan
当归注射液,dang'gui'zhu'she'ye
党参,dang'shen
党参免煎,dang'shen'mian'jian
党委办公室,dang'wei'ban'gong'shi
导板制备,dao'ban'zhi'bei
刀柄,dao'bing
刀刺伤,dao'ci'shang
刀刺伤加害,dao'ci'shang'jia'hai
导电糊,dao'dian'hu
导电胶,dao'dian'jiao
道恶性肿瘤,dao'e'xing'zhong'liu
导弓,dao'gong
导管,dao'guan
导管癌,dao'guan'ai
导管材料,dao'guan'cai'liao
导管内癌,dao'guan'nei'ai
导光吸引管,dao'guang'xi'yin'guan
刀砍伤加害,dao'kan'shang'jia'hai
导乐,dao'le
道霉菌感染,dao'mei'jun'gan'ran
导尿,dao'niao
导尿管,dao'niao'guan
刀片,dao'pian
导生明,dao'sheng'ming
导生明胶囊,dao'sheng'ming'jiao'nang
导同步心电图进口机,dao'tong'bu'xin'dian'tu'jin'kou'ji
稻芽,dao'ya
岛叶良性肿瘤,dao'ye'liang'xing'zhong'liu
道异物,dao'yi'wu
导针,dao'zhen
刀治疗术,dao'zhi'liao'shu
岛状瓣转移术,dao'zhuang'ban'zhuan'yi'shu
岛状皮瓣移植术,dao'zhuang'pi'ban'yi'zhi'shu
德昂族,de'ang'zu
德巴金缓释片,de'ba'jin'huan'shi'pian
德巴金片丙戊酸钠,de'ba'jin'pian'bing'wu'suan'na
德巴金糖浆,de'ba'jin'tang'jiang
德巴金针丙戊酸钠,de'ba'jin'zhen'bing'wu'suan'na
德巴金注射液,de'ba'jin'zhu'she'ye
得宝松复方倍他米松,de'bao'song'fu'fang'bei'ta'mi'song
得宝松注射液,de'bao'song'zhu'she'ye
得必泰复方铝酸铋,de'bi'tai'fu'fang'lv'suan'bi
德尔肯氏病痛性肥胖病,de'er'ken'shi'bing'tong'xing'fei'pang'bing
得高宁片,de'gao'ning'pian
德国,de'guo
德国阿克发医用影像有限公司,de'guo'a'ke'fa'yi'yong'ying'xiang'you'xian'gong'si
德国巴德,de'guo'ba'de
德国拜耳公司,de'guo'bai'er'gong'si
德国保时佳大药厂,de'guo'bao'shi'jia'da'yao'chang
德国贝朗医疗公司,de'guo'bei'lang'yi'liao'gong'si
德国贝林制药厂,de'guo'bei'lin'zhi'yao'chang
德国费森尤斯卡比公司,de'guo'fei'sen'you'si'ka'bi'gong'si
德国格兰泰有限公司,de'guo'ge'lan'tai'you'xian'gong'si
德国礼达大药厂,de'guo'li'da'da'yao'chang
德国鲁西公司,de'guo'lu'xi'gong'si
德国马博士大药厂,de'guo'ma'bo'shi'da'yao'chang
德国默克公司,de'guo'mo'ke'gong'si
德国苏威制药,de'guo'su'wei'zhi'yao
德国威玛舒培博士药厂,de'guo'wei'ma'shu'pei'bo'shi'yao'chang
德国许瓦兹大药厂,de'guo'xu'wa'zi'da'yao'chang
德国雅博司药业有限公司,de'guo'ya'bo'si'yao'ye'you'xian'gong'si
德国制药厂,de'guo'zhi'yao'chang
得乐胶囊,de'le'jiao'nang
得理多,de'li'duo
得理多卡马西平片,de'li'duo'ka'ma'xi'ping'pian
得力生注射液,de'li'sheng'zhu'she'ye
德脉宁,de'mai'ning
得美通胶囊,de'mei'tong'jiao'nang
得每通胰酶肠溶胶囊,de'mei'tong'yi'mei'chang'rong'jiao'nang
德明胶囊,de'ming'jiao'nang
德诺片,de'nuo'pian
得普利麻针,de'pu'li'ma'zhen
德普利麻注射液丙泊酚,de'pu'li'ma'zhu'she'ye'bing'bo'fen
得生丹,de'sheng'dan
得舒特片,de'shu'te'pian
得舒特片匹维溴铵,de'shu'te'pian'pi'wei'xiu'an
得益喉片,de'yi'hou'pian
德州制药有限公司,de'zhou'zhi'yao'you'xian'gong'si
等孢子球虫病球虫病,deng'bao'zi'qiu'chong'bing'qiu'chong'bing
灯草,deng'cao
等动力康复治疗,deng'dong'li'kang'fu'zhi'liao
登革出血热,deng'ge'chu'xue're
登革热,deng'ge're
镫骨重建术,deng'gu'chong'jian'shu
镫骨肌切断术,deng'gu'ji'qie'duan'shu
镫骨脚切开术,deng'gu'jiao'qie'kai'shu
镫骨切除人工镫骨植入术,deng'gu'qie'chu'ren'gong'deng'gu'zhi'ru'shu
镫骨切除术,deng'gu'qie'chu'shu
镫骨手术,deng'gu'shou'shu
镫骨松动术,deng'gu'song'dong'shu
镫骨足板切除术,deng'gu'zu'ban'qie'chu'shu
等候费,deng'hou'fei
灯火灸,deng'huo'jiu
等级医院收费标准,deng'ji'yi'yuan'shou'fei'biao'zhun
镫井喷,deng'jing'pen
登士柏工作夹,deng'shi'bai'gong'zuo'jia
等速测力,deng'su'ce'li
等速肌力训练,deng'su'ji'li'xun'lian
等速运动测定及训练,deng'su'yun'dong'ce'ding'ji'xun'lian
灯芯草,deng'xin'cao
灯盏花素粉针灯盏细辛,deng'zhan'hua'su'fen'zhen'deng'zhan'xi'xin
灯盏花素片,deng'zhan'hua'su'pian
灯盏花素注射液,deng'zhan'hua'su'zhu'she'ye
灯盏花素注射液灯盏细辛,deng'zhan'hua'su'zhu'she'ye'deng'zhan'xi'xin
灯盏细辛粉针,deng'zhan'xi'xin'fen'zhen
灯盏细辛胶囊,deng'zhan'xi'xin'jiao'nang
灯盏细辛注射液,deng'zhan'xi'xin'zhu'she'ye
低氨基酸血症,di'an'ji'suan'xue'zheng
地奥黄芪注射液,di'ao'huang'qi'zhu'she'ye
狄奥宁粉,di'ao'ning'fen
狄奥宁眼液,di'ao'ning'yan'ye
地奥心血康,di'ao'xin'xue'kang
地奥心血康胶囊,di'ao'xin'xue'kang'jiao'nang
地奥脂必妥片,di'ao'zhi'bi'tuo'pian
第八因子,di'ba'yin'zi
第八因子抗体形成,di'ba'yin'zi'kang'ti'xing'cheng
地巴唑片,di'ba'zuo'pian
滴鼻,di'bi
滴鼻净药物反应,di'bi'jing'yao'wu'fan'ying
滴鼻净中毒,di'bi'jing'zhong'du
滴鼻前庭,di'bi'qian'ting
低比重尿,di'bi'zhong'niao
地鳖虫,di'bie'chong
地蟞虫免煎,di'bie'chong'mian'jian
迪宾约翰逊综合征,di'bin'yue'han'xun'zong'he'zheng
低丙种球蛋白血症,di'bing'zhong'qiu'dan'bai'xue'zheng
骶部脊髓损伤,di'bu'ji'sui'sun'shang
骶部结缔组织良性肿瘤,di'bu'jie'di'zu'zhi'liang'xing'zhong'liu
低补体血症性血管炎,di'bu'ti'xue'zheng'xing'xue'guan'yan
低产钳,di'chan'qian
滴虫性尿道炎,di'chong'xing'niao'dao'yan
滴虫性阴道炎,di'chong'xing'yin'dao'yan
低促性性腺激素性性腺机能低减,di'cu'xing'xing'xian'ji'su'xing'xing'xian'ji'neng'di'jian
低蛋白性营养不良,di'dan'bai'xing'ying'yang'bu'liang
低蛋白血症,di'dan'bai'xue'zheng
低蛋白饮食,di'dan'bai'yin'shi
低档普通塑料牙,di'dang'pu'tong'su'liao'ya
敌敌畏意外中毒,di'di'wei'yi'wai'zhong'du
敌敌畏中毒,di'di'wei'zhong'du
敌敌畏中毒原因不明,di'di'wei'zhong'du'yuan'yin'bu'ming
敌敌畏自杀,di'di'wei'zi'sha
地丁草,di'ding'cao
地耳草免煎,di'er'cao'mian'jian
第二产程延长,di'er'chan'cheng'yan'chang
第二次曝光加收,di'er'ci'bao'guang'jia'shou
第二肝门切除吻合术,di'er'gan'men'qie'chu'wen'he'shu
地尔硫卓注射液,di'er'liu'zhuo'zhu'she'ye
第二辛醇,di'er'xin'chun
第二性征发育不全,di'er'xing'zheng'fa'yu'bu'quan
第二跖骨切除术,di'er'zhi'gu'qie'chu'shu
第二跖骨头修整成形术,di'er'zhi'gu'tou'xiu'zheng'cheng'xing'shu
地方性斑疹伤寒,di'fang'xing'ban'zhen'shang'han
地方性斑疹伤寒鼠型斑疹伤寒,di'fang'xing'ban'zhen'shang'han'shu'xing'ban'zhen'shang'han
地芬尼多,di'fen'ni'duo
低分子肝素,di'fen'zi'gan'su
低分子肝素鈣注射液,di'fen'zi'gan'su'gai'zhu'she'ye
低分子肝素钠,di'fen'zi'gan'su'na
低分子肝素钠注射剂克赛,di'fen'zi'gan'su'na'zhu'she'ji'ke'sai
低分子肝素片,di'fen'zi'gan'su'pian
低分子量肝素钠注射液,di'fen'zi'liang'gan'su'na'zhu'she'ye
低分子羟乙基淀粉,di'fen'zi'qiang'yi'ji'dian'fen
低分子右旋糖酐注射液,di'fen'zi'you'xuan'tang'gan'zhu'she'ye
地氟醚,di'fu'mi
低负压引流含电动,di'fu'ya'yin'liu'han'dian'dong
地肤子,di'fu'zi
地肤子免煎,di'fu'zi'mian'jian
低钙血性惊厥,di'gai'xue'xing'jing'jue
低钙血症,di'gai'xue'zheng
地高辛片,di'gao'xin'pian
地高辛试剂,di'gao'xin'shi'ji
地高辛血药浓度测定,di'gao'xin'xue'yao'nong'du'ce'ding
地高辛药物反应,di'gao'xin'yao'wu'fan'ying
地高辛意外中毒,di'gao'xin'yi'wai'zhong'du
地高辛质控,di'gao'xin'zhi'kong
地高辛中毒,di'gao'xin'zhong'du
地高辛注射液,di'gao'xin'zhu'she'ye
地高兴药物反应,di'gao'xing'yao'wu'fan'ying
地高兴中毒,di'gao'xing'zhong'du
狄戈辛片,di'ge'xin'pian
狄戈辛注射液,di'ge'xin'zhu'she'ye
骶骨部分切除术,di'gu'bu'fen'qie'chu'shu
骶骨恶性肿瘤,di'gu'e'xing'zhong'liu
骶骨骨折,di'gu'gu'zhe
骶骨交界恶性肿瘤,di'gu'jiao'jie'e'xing'zhong'liu
骶骨良性肿瘤,di'gu'liang'xing'zhong'liu
地骨皮,di'gu'pi
地骨皮免煎,di'gu'pi'mian'jian
骶骨水平以上肿瘤局部切除术,di'gu'shui'ping'yi'shang'zhong'liu'ju'bu'qie'chu'shu
骶骨肿瘤骶骨部分切除术,di'gu'zhong'liu'di'gu'bu'fen'qie'chu'shu
骶骨肿瘤骶骨次全切除术,di'gu'zhong'liu'di'gu'ci'quan'qie'chu'shu
骶骨肿瘤局部切除术,di'gu'zhong'liu'ju'bu'qie'chu'shu
滴管,di'guan
骶管滴注,di'guan'di'zhu
骶管封闭药物,di'guan'feng'bi'yao'wu
骶管麻醉术,di'guan'ma'zui'shu
骶管注射,di'guan'zhu'she
迪化糖定,di'hua'tang'ding
地黄生,di'huang'sheng
地黄熟,di'huang'shu
低钾性抽搐,di'jia'xing'chou'chu
低钾性碱中毒,di'jia'xing'jian'zhong'du
低钾血症,di'jia'xue'zheng
低精蛋白锌胰岛素注射液,di'jing'dan'bai'xin'yi'dao'su'zhu'she'ye
地卡因,di'ka'yin
地卡因粉,di'ka'yin'fen
地卡因药物反应,di'ka'yin'yao'wu'fan'ying
抵克立得,di'ke'li'de
抵克力得片噻氯匹啶,di'ke'li'de'pian'sai'lv'pi'ding
迪克新胶囊替硝唑,di'ke'xin'jiao'nang'ti'xiao'zuo
地喹氯铵,di'kui'lv'an
迪乐冲剂,di'le'chong'ji
低磷血症,di'lin'xue'zheng
地龙,di'long
地龙免煎,di'long'mian'jian
低颅压性头痛,di'lu'ya'xing'tou'tong
低颅压性头痛腰穿后,di'lu'ya'xing'tou'tong'yao'chuan'hou
低颅压综合征,di'lu'ya'zong'he'zheng
蒂洛安注射液,di'luo'an'zhu'she'ye
地氯雷他定干混悬剂,di'lv'lei'ta'ding'gan'hun'xuan'ji
地氯雷他啶片,di'lv'lei'ta'ding'pian
低氯血症,di'lv'xue'zheng
低镁血症,di'mei'xue'zheng
低密,di'mi
低密度笑气吸入镇痛术超浅全麻,di'mi'du'xiao'qi'xi'ru'zhen'tong'shu'chao'qian'quan'ma
低密度脂蛋白胆固醇一步法,di'mi'du'zhi'dan'bai'dan'gu'chun'yi'bu'fa
地面晕厥,di'mian'yun'jue
低钠血症,di'na'xue'zheng
低钠饮食,di'na'yin'shi
低能量氦氖激光血管内照射,di'neng'liang'hai'nai'ji'guang'xue'guan'nei'zhao'she
底盘,di'pan
地匹福林眼药水,di'pi'fu'lin'yan'yao'shui
低嘌呤饮食,di'piao'ling'yin'shi
低频电疗,di'pin'dian'liao
低频赫电疗,di'pin'he'dian'liao
低频脉冲电疗,di'pin'mai'chong'dian'liao
低频脉冲电治疗,di'pin'mai'chong'dian'zhi'liao
滴瓶,di'ping
滴气管,di'qi'guan
骶髂关节病灶清除术,di'qia'guan'jie'bing'zao'qing'chu'shu
骶髂关节结核,di'qia'guan'jie'jie'he
骶髂关节结核病灶清除术,di'qia'guan'jie'jie'he'bing'zao'qing'chu'shu
骶髂关节扭伤,di'qia'guan'jie'niu'shang
骶髂关节切线位片,di'qia'guan'jie'qie'xian'wei'pian
骶髂关节融合术,di'qia'guan'jie'rong'he'shu
骶髂关节损害切除术,di'qia'guan'jie'sun'hai'qie'chu'shu
骶髂关节脱位,di'qia'guan'jie'tuo'wei
骶髂关节炎,di'qia'guan'jie'yan
骶髂关节正位片,di'qia'guan'jie'zheng'wei'pian
骶髂韧带损伤,di'qia'ren'dai'sun'shang
骶前恶性肿瘤,di'qian'e'xing'zhong'liu
骶前结缔组织恶性肿瘤,di'qian'jie'di'zu'zhi'e'xing'zhong'liu
骶前结缔组织交界恶性肿瘤,di'qian'jie'di'zu'zhi'jiao'jie'e'xing'zhong'liu
骶前结缔组织良性肿瘤,di'qian'jie'di'zu'zhi'liang'xing'zhong'liu
骶前良性肿瘤,di'qian'liang'xing'zhong'liu
骶前囊肿,di'qian'nang'zhong
骶前区病害切除术,di'qian'qu'bing'hai'qie'chu'shu
骶前区交界恶性肿瘤,di'qian'qu'jiao'jie'e'xing'zhong'liu
骶前损害切除术,di'qian'sun'hai'qie'chu'shu
滴牵引孔,di'qian'yin'kong
骶前引流管接负压器,di'qian'yin'liu'guan'jie'fu'ya'qi
骶前子宫内膜异位症,di'qian'zi'gong'nei'mo'yi'wei'zheng
迪巧儿童,di'qiao'er'tong
蒂清,di'qing
低热,di're
帝人株式会社,di'ren'zhu'shi'hui'she
地塞米松滴眼液,di'sai'mi'song'di'yan'ye
地塞米松粉,di'sai'mi'song'fen
地塞米松磷酸钠滴眼液,di'sai'mi'song'lin'suan'na'di'yan'ye
地塞米松磷酸钠注射液,di'sai'mi'song'lin'suan'na'zhu'she'ye
地塞米松片,di'sai'mi'song'pian
地塞米松软膏,di'sai'mi'song'ruan'gao
地塞米松针,di'sai'mi'song'zhen
地塞米松注射液,di'sai'mi'song'zhu'she'ye
第三横突综合征,di'san'heng'tu'zong'he'zheng
第三颅神经麻痹,di'san'lu'shen'jing'ma'bi
第三脑室囊肿,di'san'nao'shi'nang'zhong
第三脑室损害切除术,di'san'nao'shi'sun'hai'qie'chu'shu
第三脑室造瘘术,di'san'nao'shi'zao'lou'shu
第三脑室肿瘤切除术,di'san'nao'shi'zhong'liu'qie'chu'shu
第三楔骨结核,di'san'xie'gu'jie'he
第三心室,di'san'xin'shi
低色素性贫血,di'se'su'xing'pin'xue
低色素性小细胞性贫血,di'se'su'xing'xiao'xi'bao'xing'pin'xue
迪沙片格列吡嗪,di'sha'pian'ge'lie'bi'qin
骶神经分离术,di'shen'jing'fen'li'shu
骶神经根囊肿,di'shen'jing'gen'nang'zhong
骶神经松解术,di'shen'jing'song'jie'shu
低渗显影葡胺钠,di'shen'xian'ying'pu'an'na
低视力助视器试验,di'shi'li'zhu'shi'qi'shi'yan
滴双耳,di'shuang'er
滴双眼,di'shuang'yan
第四脑室导水管囊虫切除术,di'si'nao'shi'dao'shui'guan'nang'chong'qie'chu'shu
第四脑室室管膜瘤切除术,di'si'nao'shi'shi'guan'mo'liu'qie'chu'shu
第四脑室肿瘤切除术,di'si'nao'shi'zhong'liu'qie'chu'shu
低速台式离心机,di'su'tai'shi'li'xin'ji
低体重儿,di'ti'zhong'er
地图舌,di'tu'she
骶尾部挫伤,di'wei'bu'cuo'shang
骶尾部窦道,di'wei'bu'dou'dao
骶尾部窦道切除术,di'wei'bu'dou'dao'qie'chu'shu
骶尾部恶性肿瘤,di'wei'bu'e'xing'zhong'liu
骶尾部畸胎瘤切除术,di'wei'bu'ji'tai'liu'qie'chu'shu
骶尾部脓肿,di'wei'bu'nong'zhong
骶尾部肿瘤切除术,di'wei'bu'zhong'liu'qie'chu'shu
低位产钳伴会阴切开术,di'wei'chan'qian'ban'hui'yin'qie'kai'shu
低位产钳分娩未提及指征者,di'wei'chan'qian'fen'mian'wei'ti'ji'zhi'zheng'zhe
低位产钳术,di'wei'chan'qian'shu
低位产钳助产的分娩,di'wei'chan'qian'zhu'chan'de'fen'mian
低位复杂性肛瘘,di'wei'fu'za'xing'gang'lou
低位肛瘘切除术,di'wei'gang'lou'qie'chu'shu
低位肛周脓肿引流,di'wei'gang'zhou'nong'zhong'yin'liu
骶尾骨骨折伴脊髓损伤,di'wei'gu'gu'zhe'ban'ji'sui'sun'shang
骶尾畸胎瘤,di'wei'ji'tai'liu
骶尾区继发性恶性肿瘤,di'wei'qu'ji'fa'xing'e'xing'zhong'liu
骶尾区良性肿瘤,di'wei'qu'liang'xing'zhong'liu
骶尾韧带劳损,di'wei'ren'dai'lao'sun
低温等离子射频消融术,di'wen'deng'li'zi'she'pin'xiao'rong'shu
底物,di'wu
底物液,di'wu'ye
地西泮片,di'xi'pan'pian
地西泮注射液,di'xi'pan'zhu'she'ye
低心排出量综合征,di'xin'pai'chu'liang'zong'he'zheng
低心排综合征,di'xin'pai'zong'he'zheng
低型烧杯,di'xing'shao'bei
低血钾性周期性麻痹,di'xue'jia'xing'zhou'qi'xing'ma'bi
低血容量,di'xue'rong'liang
低血容量性休克,di'xue'rong'liang'xing'xiu'ke
低血容量休克,di'xue'rong'liang'xiu'ke
低血糖所致的精神障碍,di'xue'tang'suo'zhi'de'jing'shen'zhang'ai
低血糖性昏迷,di'xue'tang'xing'hun'mi
低血糖症,di'xue'tang'zheng
低血压,di'xue'ya
低血氧症,di'xue'yang'zheng
低亚硫酸钠,di'ya'liu'suan'na
低压吸引器,di'ya'xi'yin'qi
低压性青光眼,di'ya'xing'qing'guang'yan
低压氧舱检查,di'ya'yang'cang'jian'cha
低盐低脂糖尿病饮食,di'yan'di'zhi'tang'niao'bing'yin'shi
低盐低脂饮食,di'yan'di'zhi'yin'shi
滴眼缓冲液,di'yan'huan'chong'ye
低眼压,di'yan'ya
低盐饮食,di'yan'yin'shi
低盐优质低蛋白饮食,di'yan'you'zhi'di'dan'bai'yin'shi
低氧反应功能测定,di'yang'fan'ying'gong'neng'ce'ding
低氧反应曲线测定,di'yang'fan'ying'qu'xian'ce'ding
